shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence
1,36.3874,-81.49951,0
1,36.38729,-81.49947,1
1,36.38711,-81.49941,2
1,36.38695,-81.49936,3
1,36.38688,-81.49934,4
1,36.38675,-81.49928,5
1,36.38662,-81.49919,6
1,36.38651,-81.4991,7
1,36.38639,-81.499,8
1,36.38618,-81.49874,9
1,36.38607,-81.49862,10
1,36.38588,-81.4984,11
1,36.38551,-81.49798,12
1,36.38545,-81.49792,13
1,36.38537,-81.49785,14
1,36.38522,-81.49775,15
1,36.38506,-81.49765,16
1,36.3849,-81.49753,17
1,36.38475,-81.49741,18
1,36.38459,-81.49727,19
1,36.38452,-81.4972,20
1,36.38425,-81.49694,21
1,36.38403,-81.49672,22
1,36.38397,-81.49667,23
1,36.38376,-81.49648,24
1,36.38362,-81.49637,25
1,36.38353,-81.4963,26
1,36.38348,-81.49627,27
1,36.38334,-81.49617,28
1,36.38321,-81.4961,29
1,36.38308,-81.49604,30
1,36.38295,-81.49599,31
1,36.38286,-81.49597,32
1,36.38268,-81.49593,33
1,36.38241,-81.49588,34
1,36.38239,-81.49588,35
1,36.38226,-81.49587,36
1,36.38197,-81.49586,37
1,36.38191,-81.49587,38
1,36.38159,-81.49586,39
1,36.3815,-81.49586,40
1,36.38134,-81.49585,41
1,36.38121,-81.49584,42
1,36.38108,-81.49581,43
1,36.38093,-81.49577,44
1,36.38079,-81.49572,45
1,36.38063,-81.49565,46
1,36.38046,-81.49557,47
1,36.38028,-81.4955,48
1,36.38008,-81.49541,49
1,36.37994,-81.49536,50
1,36.37924,-81.49513,51
1,36.37893,-81.49503,52
1,36.37874,-81.49498,53
1,36.3786,-81.49495,54
1,36.37856,-81.49495,55
1,36.37821,-81.49491,56
1,36.37817,-81.49447,57
1,36.37815,-81.49425,58
1,36.37811,-81.49389,59
1,36.37802,-81.49321,60
1,36.37801,-81.49314,61
1,36.37799,-81.49292,62
1,36.37795,-81.49258,63
1,36.37789,-81.49208,64
1,36.37786,-81.49187,65
1,36.37783,-81.49161,66
1,36.37782,-81.4914,67
1,36.37783,-81.49119,68
1,36.37787,-81.49095,69
1,36.37795,-81.49073,70
1,36.37804,-81.49053,71
1,36.37816,-81.49035,72
1,36.3782,-81.4903,73
