trip_id,arrival_time,departure_time,stop_id,stop_sequence,timepoint
9582073,08:30:00,08:30:00,1593210,0,1
9582073,08:35:00,08:35:00,1593211,1,1
9582073,08:40:00,08:40:00,1593212,2,1
9582073,08:50:00,08:50:00,1593213,3,1
9582073,08:55:00,08:55:00,1593214,4,1
9582073,08:57:00,09:04:00,1593215,5,1
9582073,09:10:00,09:10:00,1789793,6,1
9582073,09:20:00,09:20:00,1593218,7,1
9582073,09:29:00,09:29:00,1593210,8,1
9582074,09:30:00,09:30:00,1593210,0,1
9582074,09:35:00,09:35:00,1593211,1,1
9582074,09:40:00,09:40:00,1593212,2,1
9582074,09:50:00,09:50:00,1593213,3,1
9582074,09:55:00,09:55:00,1593214,4,1
9582074,09:57:00,09:57:00,1593215,5,1
9582074,10:10:00,10:10:00,1789793,6,1
9582074,10:20:00,10:20:00,1593218,7,1
9582074,10:29:00,10:29:00,1593210,8,1
9582075,10:30:00,10:30:00,1593210,0,1
9582075,10:35:00,10:35:00,1593211,1,1
9582075,10:40:00,10:40:00,1593212,2,1
9582075,10:50:00,10:50:00,1593213,3,1
9582075,10:55:00,10:55:00,1593214,4,1
9582075,10:57:00,10:57:00,1593215,5,1
9582075,11:10:00,11:10:00,1789793,6,1
9582075,11:20:00,11:20:00,1593218,7,1
9582075,11:29:00,11:29:00,1593210,8,1
9582076,11:30:00,11:30:00,1593210,0,1
9582076,11:35:00,11:35:00,1593211,1,1
9582076,11:40:00,11:40:00,1593212,2,1
9582076,11:50:00,11:50:00,1593213,3,1
9582076,11:55:00,11:55:00,1593214,4,1
9582076,11:57:00,11:57:00,1593215,5,1
9582076,12:10:00,12:10:00,1789793,6,1
9582076,12:20:00,12:20:00,1593218,7,1
9582076,12:29:00,12:29:00,1593210,8,1
9582077,12:30:00,12:30:00,1593210,0,1
9582077,12:35:00,12:35:00,1593211,1,1
9582077,12:40:00,12:40:00,1593212,2,1
9582077,12:50:00,12:50:00,1593213,3,1
9582077,12:55:00,12:55:00,1593214,4,1
9582077,12:57:00,12:57:00,1593215,5,1
9582077,13:10:00,13:10:00,1789793,6,1
9582077,13:20:00,13:20:00,1593218,7,1
9582077,13:29:00,13:29:00,1593210,8,1
9582078,13:30:00,13:30:00,1593210,0,1
9582078,13:35:00,13:35:00,1593211,1,1
9582078,13:40:00,13:40:00,1593212,2,1
9582078,13:50:00,13:50:00,1593213,3,1
9582078,13:55:00,13:55:00,1593214,4,1
9582078,13:57:00,13:57:00,1593215,5,1
9582078,14:10:00,14:10:00,1789793,6,1
9582078,14:20:00,14:20:00,1593218,7,1
9582078,14:29:00,14:29:00,1593210,8,1
9582079,14:30:00,14:30:00,1593210,0,1
9582079,14:35:00,14:35:00,1593211,1,1
9582079,14:40:00,14:40:00,1593212,2,1
9582079,14:50:00,14:50:00,1593213,3,1
9582079,14:55:00,14:55:00,1593214,4,1
9582079,14:57:00,14:57:00,1593215,5,1
9582079,15:10:00,15:10:00,1789793,6,1
9582079,15:20:00,15:20:00,1593218,7,1
9582079,15:29:00,15:29:00,1593210,8,1
9582080,15:30:00,15:30:00,1593210,0,1
9582080,15:35:00,15:35:00,1593211,1,1
9582080,15:40:00,15:40:00,1593212,2,1
9582080,15:50:00,15:50:00,1593213,3,1
9582080,15:55:00,15:55:00,1593214,4,1
9582080,15:57:00,15:57:00,1593215,5,1
9582080,16:10:00,16:10:00,1789793,6,1
9582080,16:20:00,16:20:00,1593218,7,1
9582080,16:29:00,16:29:00,1593210,8,1
9582081,16:30:00,16:30:00,1593210,0,1
9582081,16:35:00,16:35:00,1593211,1,1
9582081,16:40:00,16:40:00,1593212,2,1
9582081,16:50:00,16:50:00,1593213,3,1
9582081,16:55:00,16:55:00,1593214,4,1
9582081,16:57:00,16:57:00,1593215,5,1
9582081,17:10:00,17:10:00,1789793,6,1
9582081,17:20:00,17:20:00,1593218,7,1
9582081,17:29:00,17:29:00,1593210,8,1
9582082,09:00:00,09:00:00,1593210,0,1
9582082,09:05:00,09:05:00,1593211,1,1
9582082,09:10:00,09:10:00,1593212,2,1
9582082,09:20:00,09:20:00,1593213,3,1
9582082,09:25:00,09:25:00,1593214,4,1
9582082,09:27:00,09:27:00,1593215,5,1
9582082,09:40:00,09:40:00,1789793,6,1
9582082,09:50:00,09:50:00,1593218,7,1
