trip_id,arrival_time,departure_time,stop_id,stop_sequence,timepoint
10052855,06:44:00,06:50:00,3600456,0,1
10052855,06:54:00,06:54:00,3600457,1,1
10052855,07:01:00,07:01:00,3600458,2,1
10052855,07:11:00,07:11:00,3600459,3,1
10052855,07:19:00,07:19:00,3600460,4,1
10052855,07:24:00,07:24:00,3600461,5,1
10052855,07:35:00,07:35:00,3600462,6,1
10052855,07:47:00,07:47:00,3600463,7,1
10052960,14:54:00,15:00:00,3600456,0,1
10052960,15:04:00,15:04:00,3600457,1,1
10052960,15:11:00,15:11:00,3600458,2,1
10052960,15:21:00,15:21:00,3600459,3,1
10052960,15:29:00,15:29:00,3600460,4,1
10052960,15:34:00,15:34:00,3600461,5,1
10052960,15:45:00,15:45:00,3600462,6,1
10052960,16:02:00,16:02:00,3600463,7,1
10052961,16:09:00,16:15:00,3600456,0,1
10052961,16:19:00,16:19:00,3600457,1,1
10052961,16:26:00,16:26:00,3600458,2,1
10052961,16:36:00,16:36:00,3600459,3,1
10052961,16:44:00,16:44:00,3600460,4,1
10052961,16:49:00,16:49:00,3600461,5,1
10052961,17:00:00,17:00:00,3600462,6,1
