stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
NB_MANORRIDGEAPTS,,Manor Ridge Apartments,,35.63710042,-82.57506584,,0,,,1
NB_WEAVERVILLEHWY_OUT,,Weaverville Hwy,,35.66172834,-82.58184506,,0,,,1
NB_N_MAIN_ST_OUT,,N Main St,,35.69851629,-82.56034423,,0,,,1
NB_ARVATO,,Arvato,,35.70721127,-82.57366417,,0,,,1
NB_SUPERWALMART,,Super Wal-Mart/Lowe's,,35.70361573,-82.57872906,,0,,,1
NB_N_MAIN_ST_IN,,N Main St,,35.69850244,-82.5605613,,0,,,1
NB_WEAVERVILLEHWY_IN,,Weaverville Hwy,,35.66178907,-82.58205553,,0,,,1
NB_REEMSCREEKRD,,Reems Creek Rd,,35.6823001,-82.56735586,,0,,,1
NB_DGWOODDRIVE,,Dogwood Dr,,35.68908561,-82.5515533,,0,,,1
NB_WEAVERVILLEPLAZA,,Weaverville Blvd (Roses/Kerr),,35.7039392,-82.5679656,,0,,,1
NB_ING_WEAVERVILLE,,Ingles Weaverville,,35.70341365,-82.5653904,,0,,,1
NB_NRTHVIEWMHP,,Northview MHP,,35.71659645,-82.59949782,,0,,,1
NB_NWSTOCKRD,,New Stock Rd,,35.70677717,-82.59180289,,0,,,1
NB_AIKENRD,,Aiken Rd,,35.68420119,-82.57923375,,0,,,1
BM_SUNTRUST,,SunTrust Bank,,35.6156459,-82.31914516,,0,,,1
BM_ING_BLKMTN,,Ingles Black Mountain,,35.60789235,-82.31923256,,0,,,1
BM_BLUERIDGEASSEMBLY,,Blue Ridge Assembly Dr,,35.58915597,-82.33828548,,0,,,1
BM_BLUERIDGEAPARTMTS,,Blue Ridge Apartments,,35.61155366,-82.34145715,,0,,,1
BM_AMZNGSVNG_GDWILL,,Amazing Savings Goodwill,,35.60769921,-82.35051385,,0,,,1
BM_OLDUS70_LKEDENRD_A,,Old US 70 at Lake Eden Rd,,35.60938457,-82.36710029,,0,,,1
BM_OLDUS70_TBRNCLE,,Old US 70 at Tabernacle,,35.60918181,-82.3467089,,0,,,1
BM_TBRNCLE_CRGMNT,,Tabernacle Rd at Craigmont Rd,,35.62039394,-82.34850281,,0,,,1
BM_LAKEVIEWCENTER,,Lakeview Center,,35.61965122,-82.32740658,,0,,,1
BM_CRGMTN_WSTATEST,,W State St at Craigmont Rd,,35.6138935,-82.3272078,,0,,,1
BM_MONTREATCOLLEGE,,Montreat College,,35.64618322,-82.29842138,,0,,,1
BM_US70_BLUERIDGERD_OUT,,US Hwy 70 at Blue Ridge Rd,,35.60979851,-82.34043094,,0,,,1
BM_LYTLECOVERD,,Lytle Cove Rd,,35.60219578,-82.36753836,,0,,,1
BM_US70_WARWILRD,,US Hwy 70 at Warren Wilson Rd,,35.59303421,-82.43627702,,0,,,1
BM_ING_SWANNANOA,,Ingles Swannanoa,,35.59914763,-82.40811046,,0,,,1
BM_LAKEEDENRD_B,,Lake Eden Rd,,35.60920246,-82.36763605,,0,,,1
BM_US70_BLUERIDGERD_IN,,US Hwy 70 at Blue Ridge Rd,,35.6098675,-82.34098899,,0,,,1
EC_GDWLL1616PATTONAVE,,Goodwill Industries at 1616 Patton Ave,,35.5722588,-82.61736157,,0,,,1
EC_ING_SMKYPRK,,Ingles / Smokey Park,,35.56470451,-82.6279004,,0,,,1
EC_BILO,,Bi-Lo,,35.55272528,-82.64349198,,0,,,1
EC_WESTRIDGE,,Westridge,,35.54732008,-82.65832031,,0,,,1
EC_DOLLARGENERALMARKET,,Dollar General Market,,35.5494656,-82.6750333,,0,,,1
EC_HOTDOGKING,,Hot Dog King at Luther Rd,,35.54347933,-82.73845504,,0,,,1
EC_TATRUCKSTOP,,TA Truck Stop,,35.543119,-82.753312,,0,,,1
EC_VLLYVIEWNMRGNBRNCH,,Valley View Park / N Morgan Branch Rd,,35.54355307,-82.73121489,,0,,,1
EC_DGWD_RD_HWY151,,Dogwood Rd / Hwy 151,,35.54486059,-82.68370727,,0,,,1
EC_MONTEVISTA_RD,,Monte Vista Rd,,35.56479866,-82.68257896,,0,,,1
EC_MONTEVISTA_ASBURY,,Monte Vista Rd / Asbury Rd,,35.56424977,-82.6736583,,0,,,1
EC_MONTEVISTA_VALUINN,,Monte Vista Rd at Value Place Inn,,35.55751431,-82.6455153,,0,,,1
BM_WWCLIBRARY,,Warren Wilson College Library,,35.61045833,-82.44243756,,0,,,1
EC_ING_SANDHILL,,Ingles / Sand Hill Rd,,35.54465935,-82.65849492,,0,,,1
EC_SANDHILL_SARDIS,,Sand Hill Rd /Sardis Rd,,35.542471,-82.636272,,0,,,1
EC_SANDHILLSCHOOLRD,,Sand Hill School Rd,,35.55576471,-82.64023399,,0,,,1
