trip_id,route_id,service_id,trip_headsign,trip_short_name,direction_id,shape_id,wheelchair_accessible,bikes_allowed,block_id,block_name
NBTBLoopA1,NBTB,weekday,LoopA,,0,,1,1,NBAM,NBAM
NBTBLoopA2,NBTB,weekday,LoopA,,0,,1,1,NBAM,NBAM
NBTBLoopA3,NBTB,weekday,LoopA,,0,,1,1,NBPM,NBPM
NBTBLoopA4,NBTB,weekday,LoopA,,0,,1,1,NBPM,NBPM
NBTBLoopB1,NBTB,weekday,LoopB,,0,,1,1,NBAM2,NBAM2
NBTBLoopB2,NBTB,weekday,LoopB,,0,,1,1,NBAM2,NBAM2
NBTBLoopB3,NBTB,weekday,LoopB,,0,,1,1,NBPM,NBPM
NBTBLoopB4,NBTB,weekday,LoopB,,0,,1,1,NBPM,NBPM
BMTBLoopA2W,BMTB,weekday,LoopA,,0,,1,1,BMWAM,BMWAM
BMTBLoopA3W,BMTB,weekday,LoopA,,0,,1,1,BMWAM,BMWAM
BMTBLoopA4W,BMTB,weekday,LoopA,,0,,1,1,BMWAM,BMWAM
BMTBLoopA5W,BMTB,weekday,LoopA,,0,,1,1,BMWPM,BMWPM
BMTBLoopA6W,BMTB,weekday,LoopA,,0,,1,1,BMWPM,BMWPM
BMTBLoopA7W,BMTB,weekday,LoopA,,0,,1,1,,
BMTBLoopA2S,BMTB,saturday,LoopA,,0,,1,1,BMSAM,BMSAM
BMTBLoopA3S,BMTB,saturday,LoopA,,0,,1,1,BMSAM,BMSAM
BMTBLoopA4S,BMTB,saturday,LoopA,,0,,1,1,BMSAM,BMSAM
BMTBLoopA5S,BMTB,saturday,LoopA,,0,,1,1,BMSAM,BMSAM
BMTBLoopA6S,BMTB,saturday,LoopA,,0,,1,1,BMSPM,BMSPM
BMTBLoopA7S,BMTB,saturday,LoopA,,0,,1,1,BMSPM,BMSPM
BMTBLoopA8S,BMTB,saturday,LoopA,,0,,1,1,BMSPM,BMSPM
BMTBLoopA9S,BMTB,saturday,LoopA,,0,,1,1,,
BMTBLoopB1W,BMTB,weekday,LoopB,,0,,1,1,,
BMTBLoopB2W,BMTB,weekday,LoopB,,0,,1,1,,
BMTBLoopA1W,BMTB,weekday,,,0,,1,1,BMWAM,BMWAM
BMTBLoopA1S,BMTB,saturday,LoopA,,0,,1,1,BMSAM,BMSAM
ECTBLoopA1,ECTB,weekday,LoopA,,0,,1,1,ECAM,ECAM
ECTBLoopA2,ECTB,weekday,LoopA,,0,,1,1,ECAM,ECAM
ECTBLoopA3,ECTB,weekday,LoopA,,0,,1,1,ECAM,ECAM
ECTBLoopA4,ECTB,weekday,LoopA,,0,,1,1,ECPM,ECPM
ECTBLoopA5,ECTB,weekday,LoopA,,0,,1,1,ECPM,ECPM
ECTBLoopA6,ECTB,weekday,LoopA,,0,,1,1,ECPM,ECPM
BMTBLoopB1S,BMTB,saturday,LoopB,,0,,1,1,,
BMTBLoopB2S,BMTB,saturday,LoopB,,0,,1,1,,
ECTBLoopB1,ECTB,weekday,LoopB,,0,,1,1,ECAM,ECAM
ECTBLoopB3,ECTB,weekday,LoopB,,0,,1,1,ECPM,ECPM
ECTBLoopB4,ECTB,weekday,LoopB,,0,,1,1,ECPM,ECPM
ECTBLoopB5,ECTB,weekday,LoopB,,0,,1,1,ECPM,ECPM
ECTBLoopB2,ECTB,weekday,LoopB,,0,,1,1,ECAM,ECAM
