shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence
1.1,35.07897,-84.03457,0
1.1,35.07898,-84.03439,1
1.1,35.07898,-84.03437,2
1.1,35.07899,-84.03418,3
1.1,35.07901,-84.03402,4
1.1,35.07903,-84.03396,5
1.1,35.07906,-84.03386,6
1.1,35.0791,-84.03371,7
1.1,35.07943,-84.03389,8
1.1,35.0796,-84.03399,9
1.1,35.07963,-84.03401,10
1.1,35.0797,-84.03405,11
1.1,35.07997,-84.03422,12
1.1,35.0803,-84.03448,13
1.1,35.08044,-84.03458,14
1.1,35.08071,-84.03476,15
1.1,35.0808,-84.03482,16
1.1,35.08095,-84.03492,17
1.1,35.08111,-84.03503,18
1.1,35.08125,-84.03512,19
1.1,35.08139,-84.03519,20
1.1,35.08152,-84.03524,21
1.1,35.08164,-84.03527,22
1.1,35.08178,-84.03529,23
1.1,35.08202,-84.03532,24
1.1,35.08233,-84.03533,25
1.1,35.08238,-84.03534,26
1.1,35.08253,-84.03535,27
1.1,35.08256,-84.03536,28
1.1,35.08266,-84.03539,29
1.1,35.08273,-84.03543,30
1.1,35.08274,-84.03543,31
1.1,35.08283,-84.03548,32
1.1,35.08292,-84.03555,33
1.1,35.08299,-84.03561,34
1.1,35.08304,-84.03568,35
1.1,35.08312,-84.03577,36
1.1,35.08318,-84.03588,37
1.1,35.08326,-84.03601,38
1.1,35.08326,-84.03602,39
1.1,35.08336,-84.03619,40
1.1,35.08346,-84.03637,41
1.1,35.08356,-84.03655,42
1.1,35.0836,-84.03661,43
1.1,35.08367,-84.03673,44
1.1,35.08373,-84.03684,45
1.1,35.08387,-84.03702,46
1.1,35.0839,-84.03706,47
1.1,35.08396,-84.03711,48
1.1,35.08405,-84.03718,49
1.1,35.08406,-84.03718,50
1.1,35.08414,-84.03723,51
1.1,35.0842,-84.03726,52
1.1,35.08429,-84.0373,53
1.1,35.08435,-84.03732,54
1.1,35.08453,-84.03735,55
1.1,35.0846,-84.03735,56
1.1,35.08475,-84.03734,57
1.1,35.08496,-84.03724,58
1.1,35.08512,-84.03711,59
1.1,35.08525,-84.03701,60
1.1,35.08583,-84.03663,61
1.1,35.08604,-84.03649,62
1.1,35.0862,-84.03638,63
1.1,35.08636,-84.03628,64
1.1,35.08653,-84.03615,65
1.1,35.08664,-84.03608,66
1.1,35.0868,-84.03596,67
1.1,35.08685,-84.03591,68
1.1,35.08687,-84.03589,69
1.1,35.08692,-84.03584,70
1.1,35.087,-84.03574,71
1.1,35.08709,-84.03559,72
1.1,35.08713,-84.03552,73
1.1,35.08719,-84.03541,74
1.1,35.08729,-84.03522,75
1.1,35.08744,-84.03496,76
1.1,35.08772,-84.03446,77
1.1,35.08783,-84.03424,78
1.1,35.08785,-84.03422,79
1.1,35.08767,-84.03408,80
1.1,35.08751,-84.03394,81
1.1,35.08718,-84.03368,82
1.1,35.08695,-84.03349,83
1.1,35.08683,-84.03339,84
1.1,35.0867,-84.03329,85
1.1,35.08661,-84.03322,86
1.1,35.08651,-84.03313,87
1.1,35.08648,-84.03311,88
1.1,35.08643,-84.03307,89
1.1,35.08647,-84.03302,90
1.1,35.08668,-84.03266,91
1.1,35.08678,-84.03248,92
1.1,35.08689,-84.0323,93
1.1,35.08708,-84.03192,94
1.1,35.08724,-84.03163,95
1.1,35.08739,-84.03133,96
1.1,35.08762,-84.03143,97
1.1,35.08778,-84.03151,98
1.1,35.08795,-84.03159,99
1.1,35.08799,-84.03124,100
1.1,35.08801,-84.03107,101
1.1,35.08803,-84.03091,102
1.1,35.08803,-84.0309,103
1.1,35.08804,-84.03084,104
1.1,35.08806,-84.03075,105
1.1,35.08809,-84.03067,106
1.1,35.08812,-84.03061,107
1.1,35.08814,-84.03055,108
1.1,35.0883,-84.03027,109
1.1,35.08834,-84.0302,110
1.1,35.08837,-84.03018,111
1.1,35.08839,-84.03016,112
1.1,35.0885,-84.03003,113
1.1,35.08865,-84.0299,114
1.1,35.08879,-84.02976,115
1.1,35.0889,-84.02965,116
1.1,35.08913,-84.02944,117
1.1,35.08975,-84.02887,118
1.1,35.08985,-84.0288,119
1.1,35.0899,-84.02876,120
1.1,35.08991,-84.02876,121
1.1,35.08997,-84.02873,122
1.1,35.09007,-84.02868,123
1.1,35.09012,-84.02865,124
1.1,35.0903,-84.02859,125
1.1,35.09043,-84.02857,126
1.1,35.09055,-84.02856,127
1.1,35.09062,-84.02855,128
1.1,35.09067,-84.02855,129
1.1,35.09082,-84.02856,130
1.1,35.09088,-84.02856,131
1.1,35.09094,-84.02857,132
1.1,35.09097,-84.02857,133
1.1,35.09098,-84.02857,134
1.1,35.091,-84.02858,135
1.1,35.09101,-84.02859,136
1.1,35.09104,-84.02859,137
1.1,35.09107,-84.0286,138
1.1,35.09109,-84.0286,139
1.1,35.09116,-84.02861,140
1.1,35.09123,-84.02861,141
1.1,35.09135,-84.0286,142
1.1,35.09139,-84.0286,143
1.1,35.09149,-84.0286,144
1.1,35.09216,-84.02865,145
1.1,35.09233,-84.02866,146
1.1,35.09245,-84.02865,147
1.1,35.09265,-84.02862,148
1.1,35.09267,-84.02873,149
1.1,35.09269,-84.02888,150
1.1,35.0927,-84.02916,151
1.1,35.09271,-84.02949,152
1.1,35.09271,-84.02957,153
1.1,35.09272,-84.02984,154
1.1,35.09272,-84.03001,155
1.1,35.09274,-84.03028,156
1.1,35.09275,-84.03116,157
1.1,35.09275,-84.03118,158
1.1,35.09275,-84.03116,159
1.1,35.09274,-84.03028,160
1.1,35.09285,-84.02991,161
1.1,35.09292,-84.02973,162
1.1,35.09295,-84.02967,163
