trip_id,arrival_time,departure_time,stop_id,stop_sequence,timepoint
9885264,09:30:00,09:30:00,3551723,0,1
9885264,09:37:00,09:37:00,3551709,1,1
9885264,09:40:00,09:40:00,3551711,2,1
9885264,09:44:00,09:44:00,3551712,3,1
9885264,09:49:00,09:49:00,3551713,4,1
9885264,09:52:00,09:52:00,3551714,5,1
9885264,09:55:00,09:55:00,3551716,6,1
9885264,10:00:00,10:00:00,3551719,7,1
9885263,09:00:00,09:00:00,3551719,0,1
9885263,09:05:00,09:05:00,3551720,1,1
9885263,09:07:00,09:07:00,3551714,2,1
9885263,09:09:00,09:09:00,3551713,3,1
9885263,09:15:00,09:15:00,3551721,4,1
9885263,09:19:00,09:19:00,3551711,5,1
9885263,09:22:00,09:22:00,3551709,6,1
9885263,09:25:00,09:25:00,3551724,7,1
9885263,09:27:00,09:27:00,3551726,8,1
9885263,09:30:00,09:30:00,3551723,9,1
