trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,shape_dist_traveled,timepoint
B1,06:00:00,06:00:00,8170051,0,"",0,,0,1
B1,06:01:06,06:01:06,8170052,1,"",0,,466.1668799018152,0
B1,06:01:24,06:01:24,8170053,2,"",0,,599.3751381473098,0
B1,06:02:41,06:02:41,8170054,3,"",0,,1153.2964236077014,0
B1,06:03:28,06:03:28,8170055,4,"",0,,1489.8567023737833,0
B1,06:03:57,06:03:57,8170056,5,"",0,,1701.0682756545702,0
B1,06:04:19,06:04:19,8170057,6,"",0,,1852.9481042766765,0
B1,06:05:13,06:05:13,8170058,7,"",0,,2238.17988225134,0
B1,06:06:48,06:06:48,8170059,8,"",0,,2915.757991001145,0
B1,06:09:36,06:09:36,8170062,9,"",0,,4112.994331329249,0
B1,06:10:14,06:10:14,8170063,10,"",0,,4380.8268535595025,0
B1,06:15:00,06:15:00,8170064,11,"",0,,6422.900101517003,1
B1,06:17:01,06:17:01,8170065,12,"",0,,7498.553850467289,0
B1,06:18:05,06:18:05,8170066,13,"",0,,8065.544759608524,0
B1,06:18:41,06:18:41,8170067,14,"",0,,8390.72688543262,0
B1,06:19:53,06:19:53,8170068,15,"",0,,9026.979222089556,0
B1,06:20:51,06:20:51,8170069,16,"",0,,9543.799399532607,0
B1,06:21:47,06:21:47,8170070,17,"",0,,10046.57961861232,0
B1,06:23:41,06:23:41,8170071,18,"",0,,11059.96279856463,0
B1,06:24:31,06:24:31,8170072,19,"",0,,11504.215339547165,0
B1,06:25:00,06:25:00,8170073,20,"",0,,11766.377971280917,1
B1,06:28:41,06:28:41,8170074,21,"",0,,13957.980242762813,0
B1,06:29:59,06:29:59,8170075,22,"",0,,14577.356069313917,0
B1,06:32:01,06:32:01,8170076,23,"",0,,15545.80284454215,0
B1,06:32:57,06:32:57,8170077,24,"",0,,16009.258474542889,0
B1,06:33:53,06:33:53,8170078,25,"",0,,16431.53007929328,0
B1,06:35:00,06:35:00,8170079,26,"",0,,16964.504906636976,0
