stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding,level_id,platform_code
10634127,70031,"Swing Dairy and Clark Street","",35.83754149864976,-80.2620281510315,,,0,,,0,,
8170051,400,"Davidson County Transportation Center","",35.831634,-80.242165,,,0,,,0,,
8170052,5202,"N Salisbury St & Franklin St","",35.830116,-80.243594,,,0,,,0,,
8170053,5201,"N Salisbury St & Hemstead St 1","",35.829275,-80.244625,,,0,,,0,,
8170054,5103,"Medical Ministries","",35.826001,-80.248953,,,0,,,0,,
8170055,5203,"City Fitness","",35.823794,-80.251476,,,0,,,0,,
8170056,5205,"Crisis Ministry (E 1st Ave & S Salisbury St)","",35.822346,-80.252695,,,0,,,0,,
8170057,5207,"Farmer's Market (E 1st Ave & S Railroad St)","",35.821248,-80.251822,,,0,,,0,,
8170058,5104,"Davidson County Co-op/CVS","",35.820379,-80.250094,,,0,,,0,,
8170059,5209,"Fairview Dr & Kirkwood Ave","",35.814927,-80.25038,,,0,,,0,,
8170060,5219,"N Salisbury St & E 1st St","",35.823618,-80.251528,,,0,,,0,,
8170061,5102,"N Salisbury St & Hemstead St 2","",35.829284,-80.244882,,,0,,,0,,
8170062,5301,"Fairview Village Apartments","",35.804431,-80.252525,,,0,,,0,,
8170063,5107,"Fairview Dr & Melrose Dr","",35.802043,-80.252679,,,0,,,0,,
8170064,5109,"Walmart - Lowes Blvd","",35.794214,-80.26084,,,0,,,0,,
8170065,5110,"Cotton Grove Rd & Smith Ave","",35.802685,-80.263213,,,0,,,0,,
8170066,5302,"Cotton Grove Rd & Oak Ave","",35.807639,-80.262177,,,0,,,0,,
8170067,5111,"Cotton Grove Rd & Raeford Ave","",35.81054,-80.261864,,,0,,,0,,
8170068,5211,"Daymark (1104 S Main St)","",35.813407,-80.265295,,,0,,,0,,
8170069,5112,"Coggins Baptist Church","",35.810041,-80.269194,,,0,,,0,,
8170070,5113,"Lexington Farm & Garden 1","",35.807538,-80.273782,,,0,,,0,,
8170071,5303,"Anna Lewis Dr & Sink Inn Rd","",35.803557,-80.283652,,,0,,,0,,
8170072,5114,"Lexington Medical Center 1","",35.803491,-80.288013,,,0,,,0,,
8170073,5115,"Lexington Medical Center 2","",35.804676,-80.287027,,,0,,,0,,
8170074,5117,"Lexington Farm & Garden 2","",35.80744,-80.273676,,,0,,,0,,
8170075,5118,"S Main St & E 13th Ave","",35.810699,-80.268168,,,0,,,0,,
8170076,5119,"Compare & Save Foods","",35.817071,-80.262842,,,0,,,0,,
8170077,5120,"Library/Cancer Center","",35.82005031882013,-80.25998391286278,,,0,,,0,,
8170078,5213,"S State St & W 3rd Ave","",35.822799,-80.256794,,,0,,,0,,
8170079,6210,"N State St & W 2nd St","",35.826324,-80.252833,,,0,,,0,,
8170080,5217,"Pastor's Pantry","",35.827473,-80.251551,,,0,,,0,,
8170081,6115,"E 5th St & Pine St","",35.825812,-80.244224,,,0,,,0,,
8170082,6116,"W MLK Jr Blvd & N Church St","",35.822454,-80.239637,,,0,,,0,,
8170083,6117,"Food Lion - Talbert","",35.82054,-80.23946,,,0,,,0,,
8170084,6118,"Kirkwood St & E Center St","",35.816074,-80.246199,,,0,,,0,,
8170085,6119,"E Center St & N Church St","",35.8204,-80.248946,,,0,,,0,,
8170657,6109,"Lexington Ave & MLK Jr Dr","",35.881491,-80.100116,,,0,,,0,,
8170658,6201,"Community Mart","",35.882542,-80.106228,,,0,,,0,,
8170659,6110,"Thomasville OB/GYN","",35.883794,-80.115853,,,0,,,0,,
8170660,6111,"Dollar General","",35.883751,-80.123059,,,0,,,0,,
