trip_id,route_id,service_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible
B1,5929,1,Loop,"",0,448685,20491,
B10,5929,1,Loop,"",0,448685,20491,
B11,5929,1,Loop,"",0,448685,20491,
B12,5929,1,Loop,"",0,448685,20491,
B2,5929,1,Loop,"",0,448685,20491,
B3,5929,1,Loop,"",0,448685,20491,
B4,5929,1,Loop,"",0,448685,20491,
B5,5929,1,Loop,"",0,448685,20491,
B6,5929,1,Loop,"",0,448685,20491,
B7,5929,1,Loop,"",0,448685,20491,
B8,5929,1,Loop,"",0,448685,20491,
B9,5929,1,Loop,"",0,448685,20491,
G1,5930,1,Loop,"",0,448687,20568,
G10,5930,1,Loop,"",0,448687,20568,
G11,5930,1,Loop,"",0,448687,20568,
G12,5930,1,Loop,"",0,448687,20568,
G2,5930,1,Loop,"",0,448687,20568,
G3,5930,1,Loop,"",0,448687,20568,
G4,5930,1,Loop,"",0,448687,20568,
G5,5930,1,Loop,"",0,448687,20568,
G6,5930,1,Loop,"",0,448687,20568,
G7,5930,1,Loop,"",0,448687,20568,
G8,5930,1,Loop,"",0,448687,20568,
G9,5930,1,Loop,"",0,448687,20568,
O1,5931,1,Loop,"",0,448686,23511,
O10,5931,1,Loop,"",0,448686,23511,
O11,5931,1,Loop,"",0,448686,23511,
O12,5931,1,Loop,"",0,448686,23511,
O2,5931,1,Loop,"",0,448686,23511,
O3,5931,1,Loop,"",0,448686,23511,
O4,5931,1,Loop,"",0,448686,23511,
O5,5931,1,Loop,"",0,448686,23511,
O6,5931,1,Loop,"",0,448686,23511,
O7,5931,1,Loop,"",0,448686,23511,
O8,5931,1,Loop,"",0,448686,23511,
O9,5931,1,Loop,"",0,448686,23511,
R1,5932,1,Loop,"",0,448688,20494,
R10,5932,1,Loop,"",0,448688,20494,
R11,5932,1,Loop,"",0,448688,20494,
R12,5932,1,Loop,"",0,448688,20494,
R2,5932,1,Loop,"",0,448688,20494,
R3,5932,1,Loop,"",0,448688,20494,
R4,5932,1,Loop,"",0,448688,20494,
R5,5932,1,Loop,"",0,448688,20494,
R6,5932,1,Loop,"",0,448688,20494,
R7,5932,1,Loop,"",0,448688,20494,
R8,5932,1,Loop,"",0,448688,20494,
R9,5932,1,Loop,"",0,448688,20494,
Y1,5933,2,Loop,"",0,448689,21202,
Y2,5933,2,Loop,"",0,448689,21202,
Y3,5933,2,Loop,"",0,448689,21202,
Y4,5933,2,Loop,"",0,448689,21202,
Y5,5933,2,Loop,"",0,448689,21202,
Y6,5933,2,Loop,"",0,448689,21202,
Y7,5933,2,Loop,"",0,448689,21202,
