trip_id,arrival_time,departure_time,stop_id,stop_sequence,timepoint
9922038,07:30:00,07:30:00,3566222,0,0
9922038,07:40:00,07:40:00,3566223,1,0
9922038,07:42:00,07:42:00,3566224,2,0
9922038,08:00:00,08:00:00,3566225,3,0
9922038,08:03:00,08:03:00,3566226,4,0
9922038,08:05:00,08:05:00,3566227,5,0
9922038,08:10:00,08:10:00,3566228,6,0
9922038,08:15:00,08:15:00,3566229,7,0
9922038,08:20:00,08:20:00,3566230,8,0
9922038,08:25:00,08:25:00,3566231,9,0
9922038,08:30:00,08:30:00,3568845,10,0
9923892,07:30:00,07:30:00,3566222,0,0
9923892,07:40:00,07:40:00,3566223,1,0
9923892,07:42:00,07:42:00,3566224,2,0
9923892,08:00:00,08:00:00,3566225,3,0
9923892,08:03:00,08:03:00,3566226,4,0
9923892,08:05:00,08:05:00,3566227,5,0
9923892,08:10:00,08:10:00,3566228,6,0
9923892,08:15:00,08:15:00,3566229,7,0
9923892,08:20:00,08:20:00,3566230,8,0
9923892,08:30:00,08:30:00,3568845,9,0
9923893,05:30:00,05:30:00,3566222,0,0
9923893,05:41:00,05:41:00,3568835,1,0
9923893,05:44:00,05:44:00,3568836,2,0
9923893,05:47:00,05:47:00,3568837,3,0
9923893,05:48:00,05:48:00,3568838,4,0
9923893,05:50:00,05:50:00,3568839,5,0
9923893,05:51:00,05:51:00,3568840,6,0
9923893,05:52:00,05:52:00,3568841,7,0
9923893,05:56:00,05:56:00,3568842,8,0
9923893,05:57:00,05:57:00,3568843,9,0
9923893,06:02:00,06:02:00,3568844,10,0
9923893,06:15:00,06:15:00,3568845,11,0
