trip_id,stop_id,stop_sequence,arrival_time,departure_time,timepoint,shape_dist_traveled
Service_period_1-Weekday-f9e3f8aa-AM_2-IB-0655-4f94b20,402,1,06:55:00,06:55:00,1,0.0
Service_period_1-Weekday-f9e3f8aa-AM_2-IB-0655-4f94b20,403,2,07:05:00,07:05:00,1,13175.36
Service_period_1-Weekday-f9e3f8aa-AM_2-IB-0655-4f94b20,1203775,3,07:30:00,07:30:00,1,23952.43
Service_period_1-Weekday-f9e3f8aa-AM_2-IB-0655-4f94b20,45768,4,08:04:00,08:04:00,0,69183.74
Service_period_1-Weekday-f9e3f8aa-AM_2-IB-0655-4f94b20,07380,5,08:05:00,08:05:00,0,69394.84
Service_period_1-Weekday-f9e3f8aa-AM_2-IB-0655-4f94b20,1203734,6,08:05:00,08:05:00,1,69758.46
Service_period_1-Weekday-5de92f4d-A-LO-1400-2bd0399,220,1,14:00:00,14:00:00,1,2.79
Service_period_1-Weekday-5de92f4d-A-LO-1000-d1e28ca,220,1,10:00:00,10:00:00,1,2.79
Service_period_1-Weekday-5de92f4d-A-LO-1500-54949ca,220,1,15:00:00,15:00:00,1,2.79
Service_period_1-Weekday-5de92f4d-A-LO-0900-7bbc244,220,1,09:00:00,09:00:00,1,2.79
Service_period_1-Weekday-5de92f4d-A-LO-1700-9a564c6,220,1,17:00:00,17:00:00,1,2.79
Service_period_1-Weekday-5de92f4d-A-LO-1100-a958aad,220,1,11:00:00,11:00:00,1,2.79
Service_period_1-Weekday-5de92f4d-A-LO-1300-ab00adc,220,1,13:00:00,13:00:00,1,2.79
Service_period_1-Weekday-5de92f4d-A-LO-1600-136767b,220,1,16:00:00,16:00:00,1,2.79
Service_period_1-Weekday-5de92f4d-A-LO-1200-abde136,220,1,12:00:00,12:00:00,1,2.79
Service_period_1-Weekday-5de92f4d-A-LO-1400-2bd0399,221,2,14:01:00,14:01:00,0,814.14
Service_period_1-Weekday-5de92f4d-A-LO-1600-136767b,221,2,16:01:00,16:01:00,0,814.14
Service_period_1-Weekday-5de92f4d-A-LO-1000-d1e28ca,221,2,10:01:00,10:01:00,0,814.14
Service_period_1-Weekday-5de92f4d-A-LO-1500-54949ca,221,2,15:01:00,15:01:00,0,814.14
Service_period_1-Weekday-5de92f4d-A-LO-0900-7bbc244,221,2,09:01:00,09:01:00,0,814.14
Service_period_1-Weekday-5de92f4d-A-LO-1700-9a564c6,221,2,17:01:00,17:01:00,0,814.14
Service_period_1-Weekday-5de92f4d-A-LO-1100-a958aad,221,2,11:01:00,11:01:00,0,814.14
Service_period_1-Weekday-5de92f4d-A-LO-1300-ab00adc,221,2,13:01:00,13:01:00,0,814.14
Service_period_1-Weekday-5de92f4d-A-LO-1200-abde136,221,2,12:01:00,12:01:00,0,814.14
Service_period_1-Weekday-5de92f4d-A-LO-1400-2bd0399,222,3,14:02:00,14:02:00,0,1491.15
Service_period_1-Weekday-5de92f4d-A-LO-1600-136767b,222,3,16:02:00,16:02:00,0,1491.15
Service_period_1-Weekday-5de92f4d-A-LO-1000-d1e28ca,222,3,10:02:00,10:02:00,0,1491.15
Service_period_1-Weekday-5de92f4d-A-LO-1500-54949ca,222,3,15:02:00,15:02:00,0,1491.15
Service_period_1-Weekday-5de92f4d-A-LO-0900-7bbc244,222,3,09:02:00,09:02:00,0,1491.15
