stop_id,stop_code,stop_name,stop_lat,stop_lon,stop_desc,wheelchair_boarding,platform_code,location_type,parent_station,stop_timezone,stop_url,tts_stop_name
212,,Crossroads Place North,35.8132665,-80.8771149,,,,0,,,,
1203779,,Ericson & Buffalo Shoals,35.772305,-80.9068238,,0,,0,,,,
238,,Adams St Head Start,35.7713225,-80.8799068,,1,,0,,,,
201,,N21E,35.8090407,-80.8756677,,,,0,,,,
32550,,Transit Center- Bay X,35.224447,-80.841852,,,,0,,,,
1203734,,Cats Transit Center,35.2243887,-80.8417775,,1,,0,,,,
209,,Goodwill Retail Store,35.8178821,-80.8773261,,1,,0,,,,
1203778,,Winston & Wilson Lee,35.7715069,-80.8912208,,0,,0,,,,
220,,Plaza Street Apts,35.783336,-80.88953,,1,,0,,,,
1203776,,Grove & Ericson,35.7724006,-80.9037235,,0,,0,,,,
203,,Wal-Mart Statesville #2,35.8106971,-80.8702655,,1,,0,,,,
508,,Value Village,35.5894997,-80.8293442,,,,0,,,,
07380,,4th St & Davidson St,35.222016,-80.839027,,,,0,,,,
25410,,College St & 11th St,35.231073,-80.835132,,,,0,,,,
235,,Winston Ave & Meeting St,35.7711881,-80.8855466,,1,,0,,,,
197,,Emmanuel's Place,35.7986903,-80.864521,Add 30 ft of sidewalk Pad and Bench,1,,0,,,,
188,,Kimbrough Park,35.7746975,-80.8561401,Small Concrete Pad and Fix Sidewalk from Tree Roots,1,,0,,,,
230,,Future Generations Child Development Center,35.7779213,-80.9053887,,1,,0,,,,
513,,Hillside,35.579145,-80.827088,,,,0,,,,
1203775,,Mooresville Park and Ride,35.5907497,-80.8572826,,,,0,,,,
1203777,,Wilson Lee & Goldsboro Ave,35.7646976,-80.8913427,,0,,0,,,,
194,,Knox & Valley,35.794714,-80.8654006,3X10 Concrete Pad for lily pad and sign,1,,0,,,,
206,,Fourth Creek Landing,35.8133636,-80.875758,,,,0,,,,
219,,Library,35.7877571,-80.887239,Iredell County FC to improve,1,,0,,,,
243,,Iredell Christian Ministries,35.776327,-80.872651,,,,0,,,,
502,,Mooresville Manor,35.581592,-80.803965,,,,0,,,,
195,,Bella Vista South,35.7963185,-80.8667447,Concrete Pad on southeast sidewalk,,,0,,,,
242,,Dollar General,35.785277,-80.9129905,,,,0,,,,
45768,,4th St & McDowell St,35.220686,-80.837385,,,,0,,,,
