trip_id,route_id,service_id,direction_id,shape_id,trip_headsign,wheelchair_accessible,bikes_allowed,block_id
Service_period_1-Weekday-5de92f4d-A-LO-1600-136767b,5de92f4d,Service_period_1,0,5de92f4d-A-LO,,,1,
Service_period_1-Weekday-f9e3f8aa-AM_1-OB-0615-2a0fb7e,f9e3f8aa,Service_period_1,1,f9e3f8aa-AM_1-OB,"",0,1,
Service_period_1-Weekday-5de92f4d-A-LO-1400-2bd0399,5de92f4d,Service_period_1,0,5de92f4d-A-LO,,,1,
Service_period_1-Weekday-4f2a4648-A-IB-0752-44728c7,4f2a4648,Service_period_1,0,4f2a4648-A-IB,,,,
Service_period_1-Weekday-f9e3f8aa-PM_1-OB-1520-44b48ec,f9e3f8aa,Service_period_1,1,f9e3f8aa-PM_1-OB,"",0,1,
Service_period_1-Weekday-f9e3f8aa-AM_2-IB-0655-4f94b20,f9e3f8aa,Service_period_1,0,f9e3f8aa-AM_2-IB,"",0,1,
Service_period_1-Weekday-5de92f4d-A-LO-1500-54949ca,5de92f4d,Service_period_1,0,5de92f4d-A-LO,,,1,
Service_period_1-Weekday-f9e3f8aa-PM_2-OB-1646-6d88633,f9e3f8aa,Service_period_1,1,f9e3f8aa-PM_2-OB,"",0,1,
Service_period_1-Weekday-f9e3f8aa-PM_2-IB-1615-78c8817,f9e3f8aa,Service_period_1,0,f9e3f8aa-PM_2-IB,,,1,
Service_period_1-Weekday-5de92f4d-A-LO-0900-7bbc244,5de92f4d,Service_period_1,0,5de92f4d-A-LO,,,1,
Service_period_1-Weekday-4f2a4648-B-IB-0721-8864058,4f2a4648,Service_period_1,0,4f2a4648-B-IB,,1,1,
Service_period_1-Weekday-f9e3f8aa-AM_1-IB-0500-8b98fa7,f9e3f8aa,Service_period_1,0,f9e3f8aa-AM_1-IB,"",0,1,
Service_period_1-Weekday-5de92f4d-A-LO-1700-9a564c6,5de92f4d,Service_period_1,0,5de92f4d-A-LO,,,1,
Service_period_1-Weekday-5de92f4d-A-LO-1100-a958aad,5de92f4d,Service_period_1,0,5de92f4d-A-LO,,,1,
Service_period_1-Weekday-5de92f4d-A-LO-1300-ab00adc,5de92f4d,Service_period_1,0,5de92f4d-A-LO,,,1,
Service_period_1-Weekday-5de92f4d-A-LO-1200-abde136,5de92f4d,Service_period_1,0,5de92f4d-A-LO,,,1,
Service_period_1-Weekday-f9e3f8aa-PM_1-IB-1405-bf61592,f9e3f8aa,Service_period_1,0,f9e3f8aa-PM_1-IB,"",0,1,
Service_period_1-Weekday-5de92f4d-A-LO-1000-d1e28ca,5de92f4d,Service_period_1,0,5de92f4d-A-LO,,,1,
Service_period_1-Weekday-f9e3f8aa-AM_2-OB-0810-d98fe5f,f9e3f8aa,Service_period_1,1,f9e3f8aa-AM_2-OB,"",0,1,
Service_period_1-Weekday-4f2a4648-A-IB-0857-dc9b791,4f2a4648,Service_period_1,0,4f2a4648-A-IB,,,,
