shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence
1.2,35.15732,-83.39255,0
1.2,35.15733,-83.39208,1
1.2,35.1575,-83.39207,2
1.2,35.15765,-83.39207,3
1.2,35.15784,-83.39206,4
1.2,35.158,-83.39205,5
1.2,35.15808,-83.39207,6
1.2,35.15813,-83.39209,7
1.2,35.15817,-83.39217,8
1.2,35.15818,-83.39223,9
1.2,35.15819,-83.39234,10
1.2,35.15819,-83.39235,11
1.2,35.15818,-83.39253,12
1.2,35.15818,-83.39275,13
1.2,35.15818,-83.39337,14
1.2,35.15796,-83.39382,15
1.2,35.15791,-83.394,16
1.2,35.158,-83.39406,17
1.2,35.15804,-83.39407,18
1.2,35.1581,-83.3941,19
1.2,35.15815,-83.39412,20
1.2,35.15822,-83.39414,21
1.2,35.15833,-83.39416,22
1.2,35.15838,-83.39417,23
1.2,35.15844,-83.39416,24
1.2,35.15849,-83.39416,25
1.2,35.15857,-83.39415,26
1.2,35.15864,-83.39415,27
1.2,35.15871,-83.39414,28
1.2,35.15878,-83.39413,29
1.2,35.15894,-83.39411,30
1.2,35.15896,-83.39411,31
1.2,35.15905,-83.39409,32
1.2,35.15912,-83.39407,33
1.2,35.15913,-83.39407,34
1.2,35.15923,-83.39402,35
1.2,35.15933,-83.39412,36
1.2,35.15939,-83.39452,37
1.2,35.15942,-83.3947,38
1.2,35.15943,-83.39473,39
1.2,35.15943,-83.39477,40
1.2,35.15944,-83.39479,41
1.2,35.15947,-83.39494,42
1.2,35.1595,-83.39512,43
1.2,35.15951,-83.39515,44
1.2,35.15952,-83.3952,45
1.2,35.15953,-83.39524,46
1.2,35.15957,-83.39536,47
1.2,35.15957,-83.39537,48
1.2,35.15958,-83.3954,49
1.2,35.15959,-83.39542,50
1.2,35.15971,-83.39566,51
1.2,35.15973,-83.39572,52
1.2,35.15974,-83.39575,53
1.2,35.15976,-83.39581,54
1.2,35.15978,-83.39588,55
1.2,35.15979,-83.39596,56
1.2,35.1598,-83.396,57
1.2,35.15981,-83.39615,58
1.2,35.15981,-83.39618,59
1.2,35.15981,-83.39624,60
1.2,35.1598,-83.39641,61
1.2,35.15979,-83.39663,62
1.2,35.15979,-83.39674,63
1.2,35.15979,-83.39684,64
1.2,35.1598,-83.39688,65
1.2,35.1598,-83.39696,66
1.2,35.15981,-83.39702,67
1.2,35.15982,-83.3971,68
1.2,35.15984,-83.39717,69
1.2,35.15984,-83.39719,70
1.2,35.15986,-83.39727,71
1.2,35.1599,-83.39738,72
1.2,35.15993,-83.39747,73
1.2,35.15995,-83.39751,74
1.2,35.15998,-83.39758,75
1.2,35.15999,-83.39762,76
1.2,35.16003,-83.3977,77
1.2,35.16005,-83.39775,78
1.2,35.16007,-83.39777,79
1.2,35.16013,-83.39789,80
1.2,35.16017,-83.39795,81
1.2,35.16018,-83.39798,82
1.2,35.16023,-83.39807,83
1.2,35.16024,-83.39808,84
1.2,35.16035,-83.39824,85
1.2,35.16046,-83.39841,86
1.2,35.16056,-83.39855,87
1.2,35.16057,-83.39858,88
1.2,35.16068,-83.39876,89
1.2,35.16069,-83.39877,90
1.2,35.16086,-83.39912,91
1.2,35.16087,-83.39913,92
1.2,35.16097,-83.39931,93
1.2,35.16108,-83.39949,94
1.2,35.16118,-83.39967,95
1.2,35.16126,-83.3998,96
1.2,35.16127,-83.39982,97
1.2,35.16134,-83.39994,98
1.2,35.16137,-83.39997,99
1.2,35.16143,-83.40006,100
1.2,35.16149,-83.40013,101
1.2,35.16156,-83.40022,102
1.2,35.16162,-83.40028,103
1.2,35.16169,-83.40034,104
1.2,35.16184,-83.40046,105
1.2,35.16197,-83.40055,106
1.2,35.16208,-83.40063,107
1.2,35.16222,-83.40073,108
1.2,35.16223,-83.40074,109
1.2,35.16235,-83.40082,110
1.2,35.16243,-83.40086,111
1.2,35.16247,-83.40088,112
1.2,35.16256,-83.40093,113
1.2,35.16261,-83.40078,114
1.2,35.16268,-83.40058,115
1.2,35.1627,-83.40052,116
1.2,35.16275,-83.40038,117
1.2,35.16277,-83.4003,118
1.2,35.16281,-83.4002,119
1.2,35.16277,-83.4003,120
1.2,35.16275,-83.40038,121
1.2,35.1627,-83.40052,122
1.2,35.16268,-83.40058,123
1.2,35.16261,-83.40078,124
1.2,35.16256,-83.40093,125
1.2,35.16282,-83.40105,126
1.2,35.16299,-83.40112,127
1.2,35.1631,-83.40119,128
1.2,35.16314,-83.40123,129
1.2,35.1632,-83.40128,130
