shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence
1.1,35.91684,-82.04115,0
1.1,35.91691,-82.04116,1
1.1,35.91709,-82.04119,2
1.1,35.91727,-82.04121,3
1.1,35.91739,-82.04123,4
1.1,35.91764,-82.04122,5
1.1,35.91781,-82.0412,6
1.1,35.91799,-82.04118,7
1.1,35.91805,-82.04118,8
1.1,35.91825,-82.04117,9
1.1,35.91833,-82.04116,10
1.1,35.91835,-82.04116,11
1.1,35.91839,-82.04115,12
1.1,35.91844,-82.04113,13
1.1,35.91848,-82.04111,14
1.1,35.91851,-82.04108,15
1.1,35.91855,-82.04104,16
1.1,35.91858,-82.04099,17
1.1,35.91861,-82.04094,18
1.1,35.91862,-82.04091,19
1.1,35.91867,-82.04082,20
1.1,35.9187,-82.04071,21
1.1,35.91873,-82.04061,22
1.1,35.91875,-82.0405,23
1.1,35.91877,-82.04043,24
1.1,35.9188,-82.04028,25
1.1,35.91884,-82.04004,26
1.1,35.91918,-82.04028,27
1.1,35.91921,-82.04029,28
1.1,35.9193,-82.04034,29
1.1,35.91943,-82.04039,30
1.1,35.91952,-82.04043,31
1.1,35.91955,-82.04044,32
1.1,35.91966,-82.04052,33
1.1,35.91968,-82.04053,34
1.1,35.9197,-82.04055,35
1.1,35.91975,-82.04059,36
1.1,35.91982,-82.04067,37
1.1,35.91984,-82.04068,38
1.1,35.91984,-82.04069,39
1.1,35.91997,-82.04085,40
1.1,35.92,-82.0409,41
1.1,35.92016,-82.04104,42
1.1,35.92024,-82.04109,43
1.1,35.92026,-82.0411,44
1.1,35.92032,-82.04113,45
1.1,35.92041,-82.04116,46
1.1,35.92043,-82.04116,47
1.1,35.9205,-82.04117,48
1.1,35.92058,-82.04116,49
1.1,35.92061,-82.04115,50
1.1,35.92067,-82.04114,51
1.1,35.92075,-82.04109,52
1.1,35.92084,-82.04102,53
1.1,35.92091,-82.04092,54
1.1,35.92098,-82.0408,55
1.1,35.921,-82.04077,56
1.1,35.92114,-82.04047,57
1.1,35.9213,-82.04018,58
1.1,35.92132,-82.04015,59
1.1,35.92138,-82.04006,60
1.1,35.9214,-82.04003,61
1.1,35.92142,-82.04001,62
1.1,35.92144,-82.03997,63
1.1,35.92149,-82.03992,64
1.1,35.92153,-82.03989,65
1.1,35.92156,-82.03987,66
1.1,35.92166,-82.03981,67
1.1,35.9217,-82.0398,68
1.1,35.92172,-82.03979,69
1.1,35.92178,-82.03977,70
1.1,35.92188,-82.03976,71
1.1,35.92205,-82.03977,72
1.1,35.92257,-82.03988,73
1.1,35.92289,-82.03993,74
1.1,35.92316,-82.03996,75
1.1,35.92315,-82.04006,76
1.1,35.92313,-82.04026,77
1.1,35.92312,-82.04039,78
1.1,35.92325,-82.0404,79
1.1,35.92341,-82.04042,80
1.1,35.92361,-82.04044,81
1.1,35.92363,-82.04024,82
1.1,35.92365,-82.04002,83
1.1,35.924,-82.04006,84
1.1,35.92422,-82.04008,85
1.1,35.92409,-82.04069,86
1.1,35.92408,-82.04076,87
1.1,35.92406,-82.04087,88
1.1,35.92391,-82.04168,89
1.1,35.92385,-82.04202,90
1.1,35.92383,-82.04213,91
1.1,35.9238,-82.04235,92
1.1,35.92377,-82.04249,93
1.1,35.92366,-82.04309,94
1.1,35.92356,-82.04369,95
1.1,35.92349,-82.04407,96
1.1,35.9232,-82.04568,97
1.1,35.92313,-82.04602,98
1.1,35.92313,-82.04605,99
1.1,35.92309,-82.04624,100
1.1,35.92302,-82.04662,101
1.1,35.92289,-82.04714,102
1.1,35.9226,-82.04819,103
1.1,35.92255,-82.0484,104
1.1,35.92251,-82.04855,105
1.1,35.92243,-82.04882,106
1.1,35.92238,-82.04903,107
1.1,35.92228,-82.04936,108
1.1,35.9222,-82.04967,109
1.1,35.92215,-82.04987,110
1.1,35.92198,-82.05052,111
1.1,35.92196,-82.05059,112
1.1,35.92187,-82.05093,113
1.1,35.92176,-82.05135,114
1.1,35.92165,-82.05177,115
1.1,35.92154,-82.0522,116
1.1,35.92151,-82.05229,117
1.1,35.92148,-82.05241,118
1.1,35.92134,-82.0529,119
1.1,35.92128,-82.05311,120
1.1,35.92127,-82.05312,121
1.1,35.92121,-82.05331,122
1.1,35.92117,-82.05342,123
1.1,35.92112,-82.05356,124
1.1,35.92098,-82.05397,125
1.1,35.92084,-82.05435,126
1.1,35.92074,-82.0546,127
1.1,35.92059,-82.05494,128
1.1,35.92045,-82.05521,129
1.1,35.92017,-82.05578,130
1.1,35.92003,-82.05604,131
1.1,35.91983,-82.05637,132
1.1,35.9196,-82.05672,133
1.1,35.91946,-82.05693,134
1.1,35.91935,-82.05708,135
1.1,35.91927,-82.0572,136
1.1,35.91923,-82.05725,137
1.1,35.91911,-82.05741,138
1.1,35.91899,-82.05758,139
1.1,35.91897,-82.05761,140
1.1,35.91887,-82.05774,141
1.1,35.91882,-82.05779,142
1.1,35.91876,-82.05786,143
1.1,35.91874,-82.05789,144
1.1,35.9187,-82.05794,145
1.1,35.91861,-82.05804,146
1.1,35.9185,-82.05817,147
1.1,35.91847,-82.05819,148
1.1,35.9184,-82.05827,149
1.1,35.91836,-82.05831,150
1.1,35.91834,-82.05834,151
1.1,35.9182,-82.05848,152
1.1,35.91818,-82.05851,153
1.1,35.91809,-82.0586,154
1.1,35.91806,-82.05863,155
1.1,35.91798,-82.05871,156
1.1,35.91792,-82.05876,157
1.1,35.91778,-82.0589,158
1.1,35.91768,-82.05899,159
1.1,35.91766,-82.05901,160
1.1,35.91763,-82.05903,161
1.1,35.91749,-82.05916,162
1.1,35.91745,-82.05919,163
1.1,35.91737,-82.05926,164
1.1,35.91734,-82.05929,165
1.1,35.91723,-82.05937,166
1.1,35.91719,-82.05941,167
1.1,35.91692,-82.05964,168
1.1,35.9169,-82.05966,169
1.1,35.91674,-82.0598,170
1.1,35.91648,-82.06002,171
1.1,35.91633,-82.06015,172
1.1,35.91603,-82.0604,173
1.1,35.91574,-82.06064,174
1.1,35.91566,-82.06071,175
1.1,35.91545,-82.06089,176
1.1,35.91557,-82.06105,177
1.1,35.91584,-82.06143,178
1.1,35.91602,-82.06166,179
1.1,35.91608,-82.0616,180
1.1,35.91611,-82.06158,181
1.1,35.91613,-82.06156,182
1.1,35.91617,-82.06154,183
1.1,35.9162,-82.06152,184
1.1,35.91624,-82.06151,185
1.1,35.91628,-82.0615,186
1.1,35.9163,-82.06149,187
1.1,35.91633,-82.06149,188
1.1,35.91637,-82.06149,189
1.1,35.91643,-82.06149,190
1.1,35.91652,-82.0615,191
1.1,35.91658,-82.06151,192
1.1,35.91669,-82.06153,193
1.1,35.91682,-82.06155,194
1.1,35.91675,-82.06175,195
1.1,35.91669,-82.06193,196
1.1,35.91662,-82.06214,197
1.1,35.91662,-82.06217,198
1.1,35.91659,-82.0623,199
1.1,35.91658,-82.06238,200
1.1,35.91657,-82.0624,201
1.1,35.91657,-82.06256,202
1.1,35.91657,-82.06261,203
1.1,35.91658,-82.06283,204
1.1,35.91658,-82.06288,205
1.1,35.91659,-82.06327,206
1.1,35.91659,-82.06349,207
1.1,35.91659,-82.06372,208
1.1,35.9166,-82.06418,209
1.1,35.91683,-82.06417,210
1.1,35.91719,-82.06415,211
1.1,35.91721,-82.06364,212
1.1,35.91723,-82.06317,213
1.1,35.91724,-82.06295,214
1.1,35.91725,-82.06286,215
1.1,35.91727,-82.06261,216
1.1,35.91731,-82.0625,217
1.1,35.91732,-82.06248,218
1.1,35.91737,-82.0624,219
1.1,35.91745,-82.06235,220
1.1,35.91752,-82.06232,221
1.1,35.91763,-82.06231,222
1.1,35.91766,-82.06231,223
1.1,35.9178,-82.06232,224
1.1,35.91781,-82.06232,225
1.1,35.9178,-82.06255,226
1.1,35.91781,-82.06232,227
1.1,35.9178,-82.06232,228
1.1,35.91766,-82.06231,229
1.1,35.91763,-82.06231,230
1.1,35.91752,-82.06232,231
1.1,35.91745,-82.06235,232
1.1,35.91737,-82.0624,233
1.1,35.91732,-82.06248,234
1.1,35.91731,-82.0625,235
1.1,35.91727,-82.06261,236
1.1,35.91725,-82.06286,237
1.1,35.91724,-82.06295,238
1.1,35.91723,-82.06317,239
1.1,35.91721,-82.06364,240
1.1,35.91719,-82.06415,241
1.1,35.91683,-82.06417,242
1.1,35.9166,-82.06418,243
1.1,35.9166,-82.06438,244
1.1,35.91661,-82.0646,245
1.1,35.91643,-82.0646,246
1.1,35.91599,-82.0646,247
1.1,35.91581,-82.06461,248
1.1,35.91563,-82.06463,249
1.1,35.91545,-82.06464,250
1.1,35.91532,-82.06465,251
1.1,35.91525,-82.06491,252
1.1,35.91515,-82.06526,253
1.1,35.91505,-82.06567,254
1.1,35.91504,-82.06578,255
1.1,35.91503,-82.06592,256
1.1,35.91504,-82.06614,257
1.1,35.91509,-82.06645,258
1.1,35.91512,-82.06657,259
1.1,35.91513,-82.06662,260
1.1,35.91514,-82.06664,261
1.1,35.91519,-82.06677,262
1.1,35.91524,-82.0669,263
1.1,35.91528,-82.06697,264
1.1,35.91536,-82.06715,265
1.1,35.9154,-82.06724,266
1.1,35.91546,-82.06735,267
1.1,35.91567,-82.06776,268
1.1,35.91581,-82.06809,269
1.1,35.916,-82.06846,270
1.1,35.91635,-82.06915,271
1.1,35.91666,-82.06986,272
1.1,35.91676,-82.0701,273
1.1,35.9168,-82.07029,274
1.1,35.91696,-82.07088,275
1.1,35.917,-82.07104,276
1.1,35.91702,-82.07115,277
1.1,35.91704,-82.07125,278
1.1,35.91705,-82.07146,279
1.1,35.91707,-82.0717,280
1.1,35.91708,-82.07177,281
1.1,35.91708,-82.07192,282
1.1,35.91709,-82.07215,283
1.1,35.91709,-82.07223,284
1.1,35.91707,-82.07236,285
1.1,35.917,-82.07279,286
1.1,35.91693,-82.07323,287
1.1,35.91676,-82.07319,288
1.1,35.9166,-82.07315,289
1.1,35.91645,-82.07311,290
1.1,35.9161,-82.07301,291
1.1,35.91592,-82.07296,292
1.1,35.91554,-82.07286,293
1.1,35.91559,-82.07305,294
1.1,35.91565,-82.07326,295
1.1,35.91566,-82.0733,296
1.1,35.91569,-82.07342,297
1.1,35.9157,-82.0736,298
1.1,35.9157,-82.07369,299
1.1,35.91569,-82.07391,300
1.1,35.91569,-82.07405,301
1.1,35.91567,-82.07458,302
1.1,35.91566,-82.07474,303
1.1,35.91566,-82.07498,304
1.1,35.91543,-82.07492,305
1.1,35.91526,-82.07487,306
1.1,35.9149,-82.07478,307
1.1,35.91488,-82.07486,308
1.1,35.91487,-82.07499,309
1.1,35.91522,-82.07508,310
1.1,35.9154,-82.07513,311
1.1,35.91566,-82.0752,312
1.1,35.91566,-82.07512,313
1.1,35.91566,-82.07498,314
1.1,35.91566,-82.07474,315
