shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence
2,35.52451,-82.93054,0
2,35.52454,-82.93045,1
2,35.5245,-82.93004,2
2,35.52472,-82.93002,3
2,35.52477,-82.93025,4
2,35.52477,-82.93027,5
2,35.5248,-82.93047,6
2,35.52481,-82.9305,7
2,35.52486,-82.93073,8
2,35.5249,-82.93089,9
2,35.5252,-82.93069,10
2,35.5253,-82.93067,11
2,35.52601,-82.93054,12
2,35.52631,-82.93049,13
2,35.52704,-82.93042,14
2,35.52729,-82.93039,15
2,35.52734,-82.93037,16
2,35.5274,-82.93034,17
2,35.52748,-82.93038,18
2,35.52765,-82.93046,19
2,35.52785,-82.93057,20
2,35.52792,-82.93059,21
2,35.52798,-82.9306,22
2,35.5281,-82.93059,23
2,35.52811,-82.93058,24
2,35.52827,-82.93053,25
2,35.52839,-82.93047,26
2,35.52848,-82.93043,27
2,35.52856,-82.93039,28
2,35.52868,-82.93034,29
2,35.52897,-82.9302,30
2,35.52901,-82.93024,31
2,35.52905,-82.93027,32
2,35.52912,-82.93033,33
2,35.52911,-82.93066,34
2,35.52911,-82.93069,35
2,35.5291,-82.93084,36
2,35.5291,-82.93093,37
2,35.5291,-82.9311,38
2,35.5291,-82.93117,39
2,35.52909,-82.93126,40
2,35.52909,-82.9314,41
2,35.52908,-82.93156,42
2,35.52908,-82.93164,43
2,35.52908,-82.93173,44
2,35.52908,-82.93177,45
2,35.52908,-82.93188,46
2,35.52907,-82.93196,47
2,35.52907,-82.93221,48
2,35.52907,-82.93255,49
2,35.52907,-82.93279,50
2,35.52905,-82.93315,51
2,35.52904,-82.93344,52
2,35.52902,-82.93406,53
2,35.52897,-82.93416,54
2,35.52897,-82.93424,55
2,35.52896,-82.93438,56
2,35.52895,-82.93465,57
2,35.52895,-82.93479,58
2,35.52894,-82.93493,59
2,35.52894,-82.93494,60
2,35.52894,-82.93507,61
2,35.52893,-82.93516,62
2,35.52893,-82.93522,63
2,35.52893,-82.93535,64
2,35.52892,-82.93549,65
2,35.52891,-82.93578,66
2,35.52891,-82.93592,67
2,35.5289,-82.93605,68
2,35.5289,-82.93619,69
2,35.52889,-82.93633,70
2,35.52889,-82.93647,71
2,35.52887,-82.93674,72
2,35.52887,-82.93702,73
2,35.52885,-82.93731,74
2,35.52885,-82.93744,75
2,35.52884,-82.93758,76
2,35.52884,-82.93772,77
2,35.52883,-82.93787,78
2,35.52883,-82.938,79
2,35.52882,-82.93815,80
2,35.52882,-82.93817,81
2,35.52882,-82.93829,82
2,35.52881,-82.93842,83
2,35.52881,-82.93856,84
2,35.5288,-82.9387,85
2,35.5288,-82.93885,86
2,35.52879,-82.93899,87
2,35.52879,-82.93912,88
2,35.52878,-82.93926,89
2,35.52878,-82.9394,90
2,35.52877,-82.93954,91
2,35.52877,-82.93968,92
2,35.52876,-82.93982,93
