trip_id,arrival_time,departure_time,stop_id,stop_sequence,timepoint
9614637,08:00:00,08:00:00,3484714,0,1
9614637,08:02:00,08:02:00,3484715,1,1
9614637,08:06:00,08:06:00,3484716,2,1
9614637,08:09:00,08:09:00,3484717,3,1
9614637,08:14:00,08:14:00,3484718,4,1
9614637,08:18:00,08:18:00,3484719,5,1
9614637,08:21:00,08:21:00,3484720,6,1
9614637,08:22:00,08:22:00,3484721,7,1
9614637,08:26:00,08:26:00,3484722,8,1
9614637,08:28:00,08:28:00,3484723,9,1
9614637,08:30:00,08:30:00,3484724,10,1
9614637,08:33:00,08:33:00,3484725,11,1
9614637,08:35:00,08:35:00,3484726,12,1
9614637,08:38:00,08:38:00,3484727,13,1
9614637,08:41:00,08:41:00,3484716,14,1
9614637,08:46:00,08:46:00,3485702,15,1
9614637,08:50:00,08:50:00,3487376,16,1
9614637,08:54:00,08:54:00,3484714,17,1
9614635,11:00:00,11:00:00,3484714,0,1
9614635,11:06:00,11:06:00,3484696,1,1
9614635,11:14:00,11:14:00,3484698,2,1
9614635,11:16:00,11:16:00,3484699,3,1
9614635,11:19:00,11:19:00,3484700,4,1
9614635,11:21:00,11:21:00,3484701,5,1
9614635,11:24:00,11:24:00,3484702,6,1
9614635,11:25:00,11:25:00,3484703,7,1
9614635,11:27:00,11:27:00,3484704,8,1
9614635,11:28:00,11:28:00,3484705,9,1
9614635,11:29:00,11:29:00,3484706,10,1
9614635,11:36:00,11:36:00,3484707,11,1
9614635,11:39:00,11:39:00,3484708,12,1
9614635,11:43:00,11:43:00,3484709,13,1
9614635,11:45:00,11:45:00,3484710,14,1
9614635,11:46:00,11:46:00,3484711,15,1
9614635,11:49:00,11:49:00,3484712,16,1
9614635,11:51:00,11:51:00,3484713,17,1
9614635,11:55:00,11:55:00,3484714,18,1
10053003,08:00:00,08:00:00,3484714,0,1
10053003,08:09:00,08:09:00,3600598,1,1
10053003,08:11:00,08:11:00,3484700,2,1
10053003,08:14:00,08:14:00,3484701,3,1
10053003,08:19:00,08:19:00,3600599,4,1
10053003,08:21:00,08:21:00,3600600,5,1
10053003,08:22:00,08:22:00,3484707,6,1
10053003,08:24:00,08:24:00,3484708,7,1
10053003,08:27:00,08:27:00,3600601,8,1
10053003,08:30:00,08:30:00,3484709,9,1
10053003,08:31:00,08:31:00,3484710,10,1
10053003,08:34:00,08:34:00,3600602,11,1
10053003,08:35:00,08:35:00,3484703,12,1
10053003,08:36:00,08:36:00,3484705,13,1
10053003,08:37:00,08:37:00,3484711,14,1
10053003,08:41:00,08:41:00,3484698,15,1
10053003,08:42:00,08:42:00,3600603,16,1
10053003,08:46:00,08:46:00,3484713,17,1
10053003,08:48:00,08:48:00,3487376,18,1
10053003,08:53:00,08:53:00,3484714,19,1
10053003,08:58:00,08:58:00,3484710,20,0
