trip_id,arrival_time,departure_time,stop_id,stop_sequence,timepoint
PATS_first_trip_0745_T01,07:45:00,07:45:00,1,0,1
PATS_first_trip_0745_T01,07:47:00,07:47:00,2,1,1
PATS_first_trip_0745_T01,07:50:00,07:50:00,3,2,1
PATS_first_trip_0745_T01,07:53:00,07:53:00,4,3,1
PATS_first_trip_0745_T01,08:00:00,08:00:00,5,4,1
PATS_first_trip_0745_T01,08:04:00,08:04:00,6,5,1
PATS_first_trip_0745_T01,08:08:00,08:08:00,7,6,1
PATS_first_trip_0745_T01,08:11:00,08:11:00,8,7,1
PATS_first_trip_0745_T01,08:14:00,08:14:00,9,8,1
PATS_first_trip_0745_T01,08:19:00,08:19:00,10,9,1
PATS_first_trip_0745_T01,08:22:00,08:22:00,11,10,1
PATS_first_trip_0745_T01,08:27:00,08:27:00,13,11,1
PATS_first_trip_0745_T01,08:30:00,08:30:00,15,12,1
PATS_first_trip_0745_T01,08:33:00,08:33:00,17,13,1
PATS_first_trip_0745_T01,08:40:00,08:40:00,18,14,1
PATS_first_trip_0745_T01,08:46:00,08:46:00,19,15,1
PATS_first_trip_0745_T01,08:50:00,08:50:00,20,16,1
PATS_first_trip_0745_T01,08:55:00,08:55:00,21,17,1
PATS_first_trip_0745_T01,08:59:00,08:59:00,1,18,1
PATS_first_trip_0900_T01,09:00:00,09:00:00,1,0,1
PATS_first_trip_0900_T01,09:02:00,09:02:00,2,1,1
PATS_first_trip_0900_T01,09:05:00,09:05:00,3,2,1
PATS_first_trip_0900_T01,09:08:00,09:08:00,4,3,1
PATS_first_trip_0900_T01,09:15:00,09:15:00,5,4,1
PATS_first_trip_0900_T01,09:19:00,09:19:00,6,5,1
PATS_first_trip_0900_T01,09:23:00,09:23:00,7,6,1
PATS_first_trip_0900_T01,09:26:00,09:26:00,8,7,1
PATS_first_trip_0900_T01,09:29:00,09:29:00,9,8,1
PATS_first_trip_0900_T01,09:34:00,09:34:00,10,9,1
PATS_first_trip_0900_T01,09:37:00,09:37:00,11,10,1
PATS_first_trip_0900_T01,09:42:00,09:42:00,13,11,1
PATS_first_trip_0900_T01,09:45:00,09:45:00,14,12,1
PATS_first_trip_0900_T01,09:47:00,09:47:00,15,13,1
PATS_first_trip_0900_T01,09:48:00,09:48:00,17,14,1
PATS_first_trip_0900_T01,09:55:00,09:55:00,18,15,1
PATS_first_trip_0900_T01,10:01:00,10:01:00,19,16,1
PATS_first_trip_0900_T01,10:05:00,10:05:00,20,17,1
PATS_first_trip_0900_T01,10:10:00,10:10:00,21,18,1
PATS_first_trip_0900_T01,10:14:00,10:14:00,1,19,1
PATS_first_trip_1015_T01,10:15:00,10:15:00,1,0,1
PATS_first_trip_1015_T01,10:18:00,10:18:00,2,1,1
PATS_first_trip_1015_T01,10:21:00,10:21:00,3,2,1
PATS_first_trip_1015_T01,10:25:00,10:25:00,4,3,1
PATS_first_trip_1015_T01,10:32:00,10:32:00,5,4,1
PATS_first_trip_1015_T01,10:34:00,10:34:00,6,5,1
PATS_first_trip_1015_T01,10:38:00,10:38:00,7,6,1
PATS_first_trip_1015_T01,10:41:00,10:41:00,8,7,1
PATS_first_trip_1015_T01,10:44:00,10:44:00,9,8,1
PATS_first_trip_1015_T01,10:49:00,10:49:00,10,9,1
PATS_first_trip_1015_T01,10:52:00,10:52:00,11,10,1
PATS_first_trip_1015_T01,10:58:00,10:58:00,12,11,1
PATS_first_trip_1015_T01,10:59:00,10:59:00,13,12,1
PATS_first_trip_1015_T01,11:00:00,11:00:00,14,13,1
PATS_first_trip_1015_T01,11:02:00,11:02:00,15,14,1
PATS_first_trip_1015_T01,11:03:00,11:03:00,17,15,1
PATS_first_trip_1015_T01,11:10:00,11:10:00,18,16,1
PATS_first_trip_1015_T01,11:16:00,11:16:00,19,17,1
PATS_first_trip_1015_T01,11:20:00,11:20:00,20,18,1
PATS_first_trip_1015_T01,11:25:00,11:25:00,21,19,1
PATS_first_trip_1015_T01,11:29:00,11:29:00,1,20,1
PATS_first_trip_1015_T02,11:34:00,11:34:00,1,0,1
PATS_first_trip_1015_T02,11:37:00,11:37:00,2,1,1
PATS_first_trip_1015_T02,11:40:00,11:40:00,3,2,1
PATS_first_trip_1015_T02,11:44:00,11:44:00,4,3,1
PATS_first_trip_1015_T02,11:51:00,11:51:00,5,4,1
PATS_first_trip_1015_T02,11:53:00,11:53:00,6,5,1
PATS_first_trip_1015_T02,11:57:00,11:57:00,7,6,1
PATS_first_trip_1015_T02,12:00:00,12:00:00,8,7,1
PATS_first_trip_1015_T02,12:03:00,12:03:00,9,8,1
PATS_first_trip_1015_T02,12:08:00,12:08:00,10,9,1
PATS_first_trip_1015_T02,12:11:00,12:11:00,11,10,1
PATS_first_trip_1015_T02,12:17:00,12:17:00,12,11,1
PATS_first_trip_1015_T02,12:18:00,12:18:00,13,12,1
PATS_first_trip_1015_T02,12:19:00,12:19:00,14,13,1
PATS_first_trip_1015_T02,12:21:00,12:21:00,15,14,1
PATS_first_trip_1015_T02,12:22:00,12:22:00,17,15,1
PATS_first_trip_1015_T02,12:29:00,12:29:00,18,16,1
PATS_first_trip_1015_T02,12:35:00,12:35:00,19,17,1
PATS_first_trip_1015_T02,12:39:00,12:39:00,20,18,1
PATS_first_trip_1015_T02,12:44:00,12:44:00,21,19,1
PATS_first_trip_1015_T02,12:48:00,12:48:00,1,20,1
PATS_first_trip_1015_T03,13:11:00,13:11:00,1,0,1
PATS_first_trip_1015_T03,13:14:00,13:14:00,2,1,1
PATS_first_trip_1015_T03,13:17:00,13:17:00,3,2,1
PATS_first_trip_1015_T03,13:21:00,13:21:00,4,3,1
PATS_first_trip_1015_T03,13:28:00,13:28:00,5,4,1
PATS_first_trip_1015_T03,13:30:00,13:30:00,6,5,1
PATS_first_trip_1015_T03,13:34:00,13:34:00,7,6,1
PATS_first_trip_1015_T03,13:37:00,13:37:00,8,7,1
PATS_first_trip_1015_T03,13:40:00,13:40:00,9,8,1
PATS_first_trip_1015_T03,13:45:00,13:45:00,10,9,1
PATS_first_trip_1015_T03,13:48:00,13:48:00,11,10,1
PATS_first_trip_1015_T03,13:54:00,13:54:00,12,11,1
PATS_first_trip_1015_T03,13:55:00,13:55:00,13,12,1
PATS_first_trip_1015_T03,13:56:00,13:56:00,14,13,1
PATS_first_trip_1015_T03,13:58:00,13:58:00,15,14,1
PATS_first_trip_1015_T03,13:59:00,13:59:00,17,15,1
PATS_first_trip_1015_T03,14:06:00,14:06:00,18,16,1
PATS_first_trip_1015_T03,14:12:00,14:12:00,19,17,1
PATS_first_trip_1015_T03,14:16:00,14:16:00,20,18,1
PATS_first_trip_1015_T03,14:21:00,14:21:00,21,19,1
PATS_first_trip_1015_T03,14:25:00,14:25:00,1,20,1
PATS_first_trip_1431_T01,14:31:00,14:31:00,1,0,1
PATS_first_trip_1431_T01,14:36:00,14:36:00,3,1,1
PATS_first_trip_1431_T01,14:39:00,14:39:00,4,2,1
PATS_first_trip_1431_T01,14:46:00,14:46:00,5,3,1
PATS_first_trip_1431_T01,14:50:00,14:50:00,6,4,1
PATS_first_trip_1431_T01,14:54:00,14:54:00,7,5,1
PATS_first_trip_1431_T01,14:57:00,14:57:00,8,6,1
PATS_first_trip_1431_T01,15:00:00,15:00:00,9,7,1
PATS_first_trip_1431_T01,15:05:00,15:05:00,10,8,1
PATS_first_trip_1431_T01,15:08:00,15:08:00,11,9,1
PATS_first_trip_1431_T01,15:14:00,15:14:00,12,10,1
PATS_first_trip_1431_T01,15:15:00,15:15:00,13,11,1
PATS_first_trip_1431_T01,15:16:00,15:16:00,14,12,1
PATS_first_trip_1431_T01,15:18:00,15:18:00,15,13,1
PATS_first_trip_1431_T01,15:19:00,15:19:00,17,14,1
PATS_first_trip_1431_T01,15:26:00,15:26:00,18,15,1
PATS_first_trip_1431_T01,15:32:00,15:32:00,19,16,1
PATS_first_trip_1431_T01,15:36:00,15:36:00,20,17,1
PATS_first_trip_1431_T01,15:41:00,15:41:00,21,18,1
PATS_first_trip_1431_T01,15:49:00,15:49:00,1,19,1
PATS_first_trip_last _trip_T01,15:50:00,15:50:00,1,0,1
PATS_first_trip_last _trip_T01,15:56:00,15:56:00,3,1,1
PATS_first_trip_last _trip_T01,16:00:00,16:00:00,4,2,1
PATS_first_trip_last _trip_T01,16:04:00,16:04:00,5,3,1
PATS_first_trip_last _trip_T01,16:08:00,16:08:00,6,4,1
PATS_first_trip_last _trip_T01,16:12:00,16:12:00,7,5,1
PATS_first_trip_last _trip_T01,16:16:00,16:16:00,8,6,1
PATS_first_trip_last _trip_T01,16:19:00,16:19:00,9,7,1
PATS_first_trip_last _trip_T01,16:24:00,16:24:00,10,8,1
PATS_first_trip_last _trip_T01,16:27:00,16:27:00,11,9,1
PATS_first_trip_last _trip_T01,16:33:00,16:33:00,12,10,1
PATS_first_trip_last _trip_T01,16:35:00,16:35:00,13,11,1
PATS_first_trip_last _trip_T01,16:45:00,16:45:00,15,12,1
