trip_id,arrival_time,departure_time,stop_id,stop_sequence,timepoint
10147275,07:00:00,07:00:00,TO,0,1
10147275,07:05:00,07:05:00,3628374,1,1
10147275,07:08:00,07:08:00,McD/EXXON,2,1
10147275,07:12:00,07:12:00,3628375,3,1
10147275,07:20:00,07:20:00,RRMC,4,1
10147275,07:29:00,07:29:00,3628378,5,1
10147275,07:32:00,07:32:00,3628379,6,1
10147275,07:40:00,07:40:00,WLMRT,7,1
10147275,07:54:00,07:54:00,1670504,8,1
10147275,08:00:00,08:00:00,TO,9,0
10147276,08:04:00,08:04:00,3628374,0,1
10147276,08:06:00,08:06:00,McD/EXXON,1,1
10147276,08:09:00,08:09:00,3628375,2,1
10147276,08:13:00,08:13:00,3628376,3,1
10147276,08:17:00,08:17:00,RRMC,4,1
10147276,08:20:00,08:20:00,3628377,5,1
10147276,08:27:00,08:27:00,3628378,6,1
10147276,08:30:00,08:30:00,3628379,7,1
10147276,08:33:00,08:33:00,3628380,8,1
10147276,08:40:00,08:40:00,WLMRT,9,1
10147276,08:50:00,08:50:00,3628381,10,1
10147276,08:54:00,08:54:00,1670504,11,1
10147277,13:04:00,13:04:00,3628374,0,1
10147277,13:06:00,13:06:00,McD/EXXON,1,1
10147277,13:09:00,13:09:00,3628375,2,1
10147277,13:13:00,13:13:00,3628376,3,1
10147277,13:17:00,13:17:00,RRMC,4,1
10147277,13:20:00,13:20:00,3628377,5,1
10147277,13:27:00,13:27:00,3628378,6,1
10147277,13:30:00,13:30:00,3628379,7,1
10147277,13:33:00,13:33:00,3628380,8,1
10147277,13:40:00,13:40:00,WLMRT,9,1
10147277,13:50:00,13:50:00,3628381,10,1
10147277,13:54:00,13:54:00,1670504,11,1
10147278,16:04:00,16:04:00,3628374,0,1
10147278,16:06:00,16:06:00,McD/EXXON,1,1
10147278,16:09:00,16:09:00,3628375,2,1
10147278,16:13:00,16:13:00,3628376,3,1
10147278,16:17:00,16:17:00,RRMC,4,1
10147278,16:20:00,16:20:00,3628377,5,1
10147278,16:27:00,16:27:00,3628378,6,1
10147278,16:30:00,16:30:00,3628379,7,1
10147278,16:33:00,16:33:00,3628380,8,1
10147278,16:40:00,16:40:00,WLMRT,9,1
10147278,16:50:00,16:50:00,3628381,10,1
10147278,16:54:00,16:54:00,1670504,11,1
10147279,09:55:00,09:55:00,TO,0,1
10147279,10:04:00,10:04:00,3628374,1,1
10147279,10:06:00,10:06:00,McD/EXXON,2,1
10147279,10:09:00,10:09:00,3628375,3,1
10147279,10:13:00,10:13:00,3628376,4,1
10147279,10:17:00,10:17:00,RRMC,5,1
10147279,10:20:00,10:20:00,3628377,6,1
10147279,10:27:00,10:27:00,3628378,7,1
10147279,10:30:00,10:30:00,3628379,8,1
10147279,10:40:00,10:40:00,WLMRT,9,1
10147279,10:50:00,10:50:00,3628381,10,1
10147279,10:54:00,10:54:00,1670504,11,1
10147280,14:55:00,14:55:00,TO,0,1
10147280,15:04:00,15:04:00,3628374,1,1
10147280,15:06:00,15:06:00,McD/EXXON,2,1
10147280,15:09:00,15:09:00,3628375,3,1
10147280,15:13:00,15:13:00,3628376,4,1
10147280,15:17:00,15:17:00,RRMC,5,1
10147280,15:20:00,15:20:00,3628377,6,1
10147280,15:27:00,15:27:00,3628378,7,1
10147280,15:30:00,15:30:00,3628379,8,1
10147280,15:40:00,15:40:00,WLMRT,9,1
10147280,15:50:00,15:50:00,3628381,10,1
10147280,15:54:00,15:54:00,1670504,11,1
10147281,11:04:00,11:04:00,3628374,0,1
10147281,11:06:00,11:06:00,McD/EXXON,1,1
10147281,11:09:00,11:09:00,3628375,2,1
10147281,11:13:00,11:13:00,3628376,3,1
10147281,11:17:00,11:17:00,RRMC,4,1
10147281,11:20:00,11:20:00,3628377,5,1
10147281,11:27:00,11:27:00,3628378,6,1
10147281,11:30:00,11:30:00,3628379,7,1
10147281,11:33:00,11:33:00,3628380,8,1
10147281,11:40:00,11:40:00,WLMRT,9,1
10147282,11:50:00,11:50:00,TO,0,1
10147282,12:04:00,12:04:00,3628374,1,1
10147282,12:06:00,12:06:00,McD/EXXON,2,1
10147282,12:09:00,12:09:00,3628375,3,1
10147282,12:13:00,12:13:00,3628376,4,1
10147282,12:17:00,12:17:00,RRMC,5,1
10147282,12:20:00,12:20:00,3628377,6,1
10147282,12:27:00,12:27:00,3628378,7,1
10147282,12:30:00,12:30:00,3628379,8,1
10147282,12:33:00,12:33:00,3628380,9,1
10147282,12:40:00,12:40:00,WLMRT,10,1
10147282,12:50:00,12:50:00,3628381,11,1
10147282,12:54:00,12:54:00,1670504,12,1
10147283,07:00:00,07:00:00,TO,0,1
10147283,07:04:00,07:04:00,3628382,1,1
