stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
TO,,Transit Office,,35.346986,-81.907354,,0,,,
3628374,,Oak Street,,35.3581440785438,-81.9327232331352,,0,,,
McD/EXXON,,McDonald's/Exxon-Spindale,,35.362905,-81.940956,,0,,,
3628375,,Green Street,,35.3766821528095,-81.9456975131401,,0,,,
RRMC,,Rutherford Regional Hospital,,35.361565,-81.965896,,0,,,
3628378,,Reservation Drive,,35.3495693210449,-81.936369376922,,0,,,
3628379,,Oakland Road,,35.3535382308805,-81.9206603199146,,0,,,
WLMRT,,Wal-Mart (Rx Entrance),,35.335538,-81.899015,,0,,,
1670504,,Dept. Social Services (DSS),,35.3465572563006,-81.9102742183565,,0,,,
3628376,,Rutherford County Courthouse,,35.3692961446034,-81.956886354392,,0,,,
3628377,,Dollar General,,35.3529058770922,-81.9613484289232,,0,,,
3628380,,Health Department,,35.3484324404334,-81.9107135717534,,0,,,
3628381,,White Oak Plaza,,35.3417877594048,-81.9074468314648,,0,,,
3628382,,Everest Textiles,,35.3519666058807,-81.8997570868329,,0,,,
3628383,,Cole Street,,35.3473945624093,-81.8865131003033,,0,,,
3628384,,Habitat Office,,35.3356359115973,-81.8696709938898,,0,,,
3628385,,Truist Bank,,35.3335644499324,-81.8622177036761,,0,,,
FD LN,,Food Lion (FC),,35.317545,-81.857805,,0,,,
HRMNY HLS APTS,,Harmony Hills Apts,,35.323878,-81.864297,,0,,,
FC HAO,,FC Housing Authority Office,,35.329246,-81.868658,,0,,,
SM APTS,,Southern Manor Apts,,35.330581,-81.880038,,0,,,
INGLS,,Ingle's,,35.320442,-81.880075,,0,,,
ICC,,ICC (Bus-Science Bldg),,35.336482,-81.911542,,0,,,
ICC (FNDTN),,ICC (Foundation),,35.339513,-81.914611,,0,,,
3628386,,J's Salvage,,35.3323449155056,-81.8869774423603,,0,,,
