trip_id,arrival_time,departure_time,stop_id,stop_sequence,timepoint
8181965,07:00:00,07:00:00,3043362,0,0
8181965,07:04:00,07:04:00,3043363,1,0
8181965,07:06:00,07:06:00,3043364,2,0
8181965,07:08:00,07:08:00,3043365,3,0
8181965,07:11:00,07:11:00,3043366,4,0
8181965,07:14:00,07:14:00,3043367,5,0
8181965,07:18:00,07:18:00,3043368,6,0
8181965,07:21:00,07:21:00,3043369,7,0
8181965,07:24:00,07:24:00,3043370,8,0
8181965,07:28:00,07:28:00,3043371,9,0
8181965,07:29:00,07:29:00,3043372,10,0
8181965,07:31:00,07:31:00,3043373,11,0
8181965,07:34:00,07:34:00,3043374,12,0
8181965,07:36:00,07:36:00,3043375,13,0
8181965,07:39:00,07:39:00,3043376,14,0
8181965,07:41:00,07:41:00,3043377,15,0
8181965,07:43:00,07:43:00,3043378,16,0
8181965,07:47:00,07:47:00,3043379,17,0
8181965,07:49:00,07:49:00,3043380,18,0
8181965,07:52:00,07:52:00,3043381,19,0
8181965,07:54:00,07:54:00,3043382,20,0
8181965,07:57:00,07:57:00,3043383,21,0
8181965,07:59:00,07:59:00,3043362,22,0
8256943,08:00:00,08:00:00,3043362,0,0
8256943,08:04:00,08:04:00,3043363,1,0
8256943,08:06:00,08:06:00,3043364,2,0
8256943,08:08:00,08:08:00,3043365,3,0
8256943,08:11:00,08:11:00,3043366,4,0
8256943,08:14:00,08:14:00,3043367,5,0
8256943,08:18:00,08:18:00,3043368,6,0
8256943,08:21:00,08:21:00,3043369,7,0
8256943,08:24:00,08:24:00,3043370,8,0
8256943,08:28:00,08:28:00,3043371,9,0
8256943,08:29:00,08:29:00,3043372,10,0
8256943,08:31:00,08:31:00,3043373,11,0
8256943,08:34:00,08:34:00,3043374,12,0
8256943,08:36:00,08:36:00,3043375,13,0
8256943,08:39:00,08:39:00,3043376,14,0
8256943,08:41:00,08:41:00,3043377,15,0
8256943,08:43:00,08:43:00,3043378,16,0
8256943,08:47:00,08:47:00,3043379,17,0
8256943,08:49:00,08:49:00,3043380,18,0
8256943,08:52:00,08:52:00,3043381,19,0
8256943,08:54:00,08:54:00,3043382,20,0
8256943,08:57:00,08:57:00,3043383,21,0
8256943,08:59:00,08:59:00,3043362,22,0
8256944,09:00:00,09:00:00,3043362,0,0
8256944,09:04:00,09:04:00,3043363,1,0
8256944,09:06:00,09:06:00,3043364,2,0
8256944,09:08:00,09:08:00,3043365,3,0
8256944,09:11:00,09:11:00,3043366,4,0
8256944,09:14:00,09:14:00,3043367,5,0
8256944,09:18:00,09:18:00,3043368,6,0
8256944,09:21:00,09:21:00,3043369,7,0
8256944,09:24:00,09:24:00,3043370,8,0
8256944,09:28:00,09:28:00,3043371,9,0
8256944,09:29:00,09:29:00,3043372,10,0
8256944,09:31:00,09:31:00,3043373,11,0
8256944,09:34:00,09:34:00,3043374,12,0
8256944,09:36:00,09:36:00,3043375,13,0
8256944,09:39:00,09:39:00,3043376,14,0
8256944,09:41:00,09:41:00,3043377,15,0
8256944,09:43:00,09:43:00,3043378,16,0
8256944,09:47:00,09:47:00,3043379,17,0
8256944,09:49:00,09:49:00,3043380,18,0
8256944,09:52:00,09:52:00,3043381,19,0
8256944,09:54:00,09:54:00,3043382,20,0
8256944,09:57:00,09:57:00,3043383,21,0
8256944,09:59:00,09:59:00,3043362,22,0
8256945,10:00:00,10:00:00,3043362,0,0
8256945,10:04:00,10:04:00,3043363,1,0
8256945,10:06:00,10:06:00,3043364,2,0
8256945,10:08:00,10:08:00,3043365,3,0
8256945,10:11:00,10:11:00,3043366,4,0
8256945,10:14:00,10:14:00,3043367,5,0
8256945,10:18:00,10:18:00,3043368,6,0
8256945,10:21:00,10:21:00,3043369,7,0
8256945,10:24:00,10:24:00,3043370,8,0
8256945,10:28:00,10:28:00,3043371,9,0
8256945,10:29:00,10:29:00,3043372,10,0
8256945,10:31:00,10:31:00,3043373,11,0
8256945,10:34:00,10:34:00,3043374,12,0
8256945,10:36:00,10:36:00,3043375,13,0
8256945,10:39:00,10:39:00,3043376,14,0
8256945,10:41:00,10:41:00,3043377,15,0
8256945,10:43:00,10:43:00,3043378,16,0
8256945,10:47:00,10:47:00,3043379,17,0
8256945,10:49:00,10:49:00,3043380,18,0
8256945,10:52:00,10:52:00,3043381,19,0
8256945,10:54:00,10:54:00,3043382,20,0
8256945,10:57:00,10:57:00,3043383,21,0
8256945,10:59:00,10:59:00,3043362,22,0
8256946,12:00:00,12:00:00,3043362,0,0
8256946,12:04:00,12:04:00,3043363,1,0
8256946,12:06:00,12:06:00,3043364,2,0
8256946,12:08:00,12:08:00,3043365,3,0
8256946,12:11:00,12:11:00,3043366,4,0
8256946,12:14:00,12:14:00,3043367,5,0
8256946,12:18:00,12:18:00,3043368,6,0
8256946,12:21:00,12:21:00,3043369,7,0
8256946,12:24:00,12:24:00,3043370,8,0
8256946,12:28:00,12:28:00,3043371,9,0
8256946,12:29:00,12:29:00,3043372,10,0
8256946,12:31:00,12:31:00,3043373,11,0
8256946,12:34:00,12:34:00,3043374,12,0
8256946,12:36:00,12:36:00,3043375,13,0
8256946,12:39:00,12:39:00,3043376,14,0
8256946,12:41:00,12:41:00,3043377,15,0
8256946,12:43:00,12:43:00,3043378,16,0
8256946,12:47:00,12:47:00,3043379,17,0
8256946,12:49:00,12:49:00,3043380,18,0
8256946,12:52:00,12:52:00,3043381,19,0
8256946,12:54:00,12:54:00,3043382,20,0
8256946,12:57:00,12:57:00,3043383,21,0
8256946,12:59:00,12:59:00,3043362,22,0
8256947,13:00:00,13:00:00,3043362,0,0
8256947,13:04:00,13:04:00,3043363,1,0
8256947,13:06:00,13:06:00,3043364,2,0
8256947,13:08:00,13:08:00,3043365,3,0
8256947,13:11:00,13:11:00,3043366,4,0
8256947,13:14:00,13:14:00,3043367,5,0
8256947,13:18:00,13:18:00,3043368,6,0
8256947,13:21:00,13:21:00,3043369,7,0
8256947,13:24:00,13:24:00,3043370,8,0
8256947,13:28:00,13:28:00,3043371,9,0
8256947,13:29:00,13:29:00,3043372,10,0
8256947,13:31:00,13:31:00,3043373,11,0
8256947,13:34:00,13:34:00,3043374,12,0
8256947,13:36:00,13:36:00,3043375,13,0
8256947,13:39:00,13:39:00,3043376,14,0
8256947,13:41:00,13:41:00,3043377,15,0
8256947,13:43:00,13:43:00,3043378,16,0
8256947,13:47:00,13:47:00,3043379,17,0
8256947,13:49:00,13:49:00,3043380,18,0
8256947,13:52:00,13:52:00,3043381,19,0
8256947,13:54:00,13:54:00,3043382,20,0
8256947,13:57:00,13:57:00,3043383,21,0
8256947,13:59:00,13:59:00,3043362,22,0
8256948,14:00:00,14:00:00,3043362,0,0
8256948,14:04:00,14:04:00,3043363,1,0
8256948,14:06:00,14:06:00,3043364,2,0
8256948,14:08:00,14:08:00,3043365,3,0
8256948,14:11:00,14:11:00,3043366,4,0
8256948,14:14:00,14:14:00,3043367,5,0
8256948,14:18:00,14:18:00,3043368,6,0
8256948,14:21:00,14:21:00,3043369,7,0
8256948,14:24:00,14:24:00,3043370,8,0
8256948,14:28:00,14:28:00,3043371,9,0
8256948,14:29:00,14:29:00,3043372,10,0
8256948,14:31:00,14:31:00,3043373,11,0
8256948,14:34:00,14:34:00,3043374,12,0
8256948,14:36:00,14:36:00,3043375,13,0
8256948,14:39:00,14:39:00,3043376,14,0
8256948,14:41:00,14:41:00,3043377,15,0
8256948,14:43:00,14:43:00,3043378,16,0
8256948,14:47:00,14:47:00,3043379,17,0
8256948,14:49:00,14:49:00,3043380,18,0
8256948,14:52:00,14:52:00,3043381,19,0
8256948,14:54:00,14:54:00,3043382,20,0
8256948,14:57:00,14:57:00,3043383,21,0
8256948,14:59:00,14:59:00,3043362,22,0
8256949,15:00:00,15:00:00,3043362,0,0
8256949,15:04:00,15:04:00,3043363,1,0
8256949,15:06:00,15:06:00,3043364,2,0
8256949,15:08:00,15:08:00,3043365,3,0
8256949,15:11:00,15:11:00,3043366,4,0
8256949,15:14:00,15:14:00,3043367,5,0
8256949,15:18:00,15:18:00,3043368,6,0
8256949,15:21:00,15:21:00,3043369,7,0
8256949,15:24:00,15:24:00,3043370,8,0
8256949,15:28:00,15:28:00,3043371,9,0
8256949,15:29:00,15:29:00,3043372,10,0
8256949,15:31:00,15:31:00,3043373,11,0
8256949,15:34:00,15:34:00,3043374,12,0
8256949,15:36:00,15:36:00,3043375,13,0
8256949,15:39:00,15:39:00,3043376,14,0
8256949,15:41:00,15:41:00,3043377,15,0
8256949,15:43:00,15:43:00,3043378,16,0
8256949,15:47:00,15:47:00,3043379,17,0
8256949,15:49:00,15:49:00,3043380,18,0
8256949,15:52:00,15:52:00,3043381,19,0
8256949,15:54:00,15:54:00,3043382,20,0
8256949,15:57:00,15:57:00,3043383,21,0
8256949,15:59:00,15:59:00,3043362,22,0
8181973,06:30:00,06:30:00,3043384,0,0
8181973,06:35:00,06:35:00,3043385,1,0
8181973,06:39:00,06:39:00,3043386,2,0
8181973,06:42:00,06:42:00,3043387,3,0
8181973,06:45:00,06:45:00,3043388,4,0
8181974,16:10:00,16:10:00,3043384,0,0
8181974,16:15:00,16:15:00,3043385,1,0
8181974,16:19:00,16:19:00,3043386,2,0
8181974,16:22:00,16:22:00,3043387,3,0
8181974,16:25:00,16:25:00,3043388,4,0
8181975,11:10:00,11:10:00,3043384,0,0
8181975,11:15:00,11:15:00,3043385,1,0
8181975,11:19:00,11:19:00,3043386,2,0
8181975,11:22:00,11:22:00,3043387,3,0
8181975,11:25:00,11:25:00,3043388,4,0
8181975,11:35:00,11:35:00,3048109,5,0
