trip_id,route_id,service_id,trip_headsign,trip_short_name,direction_id,shape_id,wheelchair_accessible,bikes_allowed,block_id,block_name
8181965,107425,99008,North Loop,,0,1,,,1,northblock
8256943,107425,99008,North Loop,,0,1,,,1,northblock
8256944,107425,99008,North Loop,,0,1,,,1,northblock
8256945,107425,99008,North Loop,,0,1,,,1,northblock
8256946,107425,99008,North Loop,,0,1,,,1,northblock
8256947,107425,99008,North Loop,,0,1,,,1,northblock
8256948,107425,99008,North Loop,,0,1,,,1,northblock
8256949,107425,99008,North Loop,,0,1,,,1,northblock
8181973,107426,99008,Park and Ride,,0,2,,,,
8181974,107426,99008,Park and Ride,,0,2,,,,
8181975,107426,99008,Depot,,0,3,,,,
