trip_id,arrival_time,departure_time,stop_id,stop_sequence,timepoint
4849846,06:30:00,06:30:00,1689774,0,1
4849846,06:35:00,06:35:00,1689775,1,1
4849846,06:36:00,06:36:00,1689776,2,1
4849846,06:41:00,06:41:00,1689777,3,1
4849846,06:44:00,06:44:00,1689778,4,1
4849846,06:50:00,06:50:00,1689779,5,1
4849846,06:54:00,06:54:00,1689780,6,1
4849846,06:56:00,06:56:00,1689781,7,1
4849846,06:59:00,06:59:00,1689782,8,1
4849846,07:01:00,07:01:00,1694005,9,1
4849846,07:03:00,07:03:00,1689990,10,1
4849846,07:05:00,07:05:00,1689812,11,1
4849846,07:07:00,07:07:00,1689991,12,1
4849846,07:14:00,07:14:00,1689992,13,1
4849846,07:16:00,07:16:00,1694007,14,1
4849846,07:19:00,07:19:00,1689814,15,1
4849846,07:20:00,07:20:00,1694008,16,1
4849846,07:21:00,07:21:00,1689993,17,1
4849846,07:22:00,07:22:00,1689994,18,1
4849846,07:26:00,07:26:00,1689815,19,1
4849846,07:28:00,07:28:00,1689995,20,1
4849846,07:32:00,07:32:00,1689996,21,1
4849846,07:33:00,07:33:00,1689818,22,1
4849846,07:34:00,07:34:00,1689817,23,1
4849846,07:38:00,07:38:00,1689997,24,1
4849847,07:43:00,07:43:00,1689774,0,1
4849847,07:48:00,07:48:00,1689775,1,1
4849847,07:49:00,07:49:00,1689776,2,1
4849847,07:54:00,07:54:00,1689777,3,1
4849847,07:57:00,07:57:00,1689778,4,1
4849847,08:03:00,08:03:00,1689779,5,1
4849847,08:07:00,08:07:00,1689780,6,1
4849847,08:09:00,08:09:00,1689781,7,1
4849847,08:12:00,08:12:00,1689782,8,1
4849847,08:14:00,08:14:00,1694005,9,1
4849847,08:16:00,08:16:00,1689990,10,1
4849847,08:18:00,08:18:00,1689812,11,1
4849847,08:20:00,08:20:00,1689991,12,1
4849847,08:27:00,08:27:00,1689992,13,1
4849847,08:29:00,08:29:00,1694007,14,1
4849847,08:32:00,08:32:00,1689814,15,1
4849847,08:33:00,08:33:00,1694008,16,1
4849847,08:34:00,08:34:00,1689993,17,1
4849847,08:35:00,08:35:00,1689994,18,1
4849847,08:39:00,08:39:00,1689815,19,1
4849847,08:41:00,08:41:00,1689995,20,1
4849847,08:45:00,08:45:00,1689996,21,1
