trip_id,arrival_time,departure_time,stop_id,stop_sequence,timepoint
101sa01,8:00:00,8:00:00,10100,1,1
101sa01,,,10101,2,0
101sa01,,,10102,3,0
101sa01,,,10103,4,0
101sa01,,,10104,5,0
101sa01,,,10105,6,0
101sa01,8:06:00,8:06:00,10106,7,1
101sa01,,,10107,8,0
101sa01,,,10108,9,0
101sa01,,,10501,10,0
101sa01,8:11:00,8:11:00,10592,11,1
101sa01,,,10593,12,0
101sa01,,,10502,13,0
101sa01,,,10503,14,0
101sa01,,,10504,15,0
101sa01,,,10505,16,0
101sa01,,,10506,17,0
101sa01,,,10507,18,0
101sa01,,,10508,19,0
101sa01,,,10509,20,0
101sa01,,,10510,21,0
101sa01,8:24:00,8:24:00,10511,22,1
101sa01,,,10512,23,0
101sa01,8:26:00,8:26:00,10513,24,1
101sa01,8:30:00,8:30:00,10500,25,1
101sa02,9:00:00,9:00:00,10100,1,1
101sa02,,,10101,2,0
101sa02,,,10102,3,0
101sa02,,,10103,4,0
101sa02,,,10104,5,0
101sa02,,,10105,6,0
101sa02,9:06:00,9:06:00,10106,7,1
101sa02,,,10107,8,0
101sa02,,,10108,9,0
101sa02,,,10501,10,0
101sa02,9:11:00,9:11:00,10592,11,1
101sa02,,,10593,12,0
101sa02,,,10502,13,0
101sa02,,,10503,14,0
101sa02,,,10504,15,0
101sa02,,,10505,16,0
101sa02,,,10506,17,0
101sa02,,,10507,18,0
101sa02,,,10508,19,0
101sa02,,,10509,20,0
101sa02,,,10510,21,0
101sa02,9:24:00,9:24:00,10511,22,1
101sa02,,,10512,23,0
101sa02,9:26:00,9:26:00,10513,24,1
101sa02,9:30:00,9:30:00,10500,25,1
101sa03,10:00:00,10:00:00,10100,1,1
101sa03,,,10101,2,0
101sa03,,,10102,3,0
101sa03,,,10103,4,0
101sa03,,,10104,5,0
101sa03,,,10105,6,0
101sa03,10:06:00,10:06:00,10106,7,1
101sa03,,,10107,8,0
101sa03,,,10108,9,0
101sa03,,,10501,10,0
101sa03,10:11:00,10:11:00,10592,11,1
101sa03,,,10593,12,0
101sa03,,,10502,13,0
101sa03,,,10503,14,0
101sa03,,,10504,15,0
101sa03,,,10505,16,0
101sa03,,,10506,17,0
101sa03,,,10507,18,0
101sa03,,,10508,19,0
101sa03,,,10509,20,0
101sa03,,,10510,21,0
101sa03,10:24:00,10:24:00,10511,22,1
101sa03,,,10512,23,0
101sa03,10:26:00,10:26:00,10513,24,1
101sa03,10:30:00,10:30:00,10500,25,1
101sa04,11:00:00,11:00:00,10100,1,1
101sa04,,,10101,2,0
101sa04,,,10102,3,0
101sa04,,,10103,4,0
101sa04,,,10104,5,0
101sa04,,,10105,6,0
101sa04,11:06:00,11:06:00,10106,7,1
101sa04,,,10107,8,0
101sa04,,,10108,9,0
101sa04,,,10501,10,0
101sa04,11:11:00,11:11:00,10592,11,1
101sa04,,,10593,12,0
101sa04,,,10502,13,0
101sa04,,,10503,14,0
101sa04,,,10504,15,0
101sa04,,,10505,16,0
101sa04,,,10506,17,0
101sa04,,,10507,18,0
101sa04,,,10508,19,0
101sa04,,,10509,20,0
101sa04,,,10510,21,0
101sa04,11:24:00,11:24:00,10511,22,1
101sa04,,,10512,23,0
101sa04,11:26:00,11:26:00,10513,24,1
101sa04,11:30:00,11:30:00,10500,25,1
101sa05,12:00:00,12:00:00,10100,1,1
101sa05,,,10101,2,0
101sa05,,,10102,3,0
101sa05,,,10103,4,0
101sa05,,,10104,5,0
101sa05,,,10105,6,0
101sa05,12:06:00,12:06:00,10106,7,1
101sa05,,,10107,8,0
101sa05,,,10108,9,0
101sa05,,,10501,10,0
101sa05,12:11:00,12:11:00,10592,11,1
101sa05,,,10593,12,0
101sa05,,,10502,13,0
101sa05,,,10503,14,0
101sa05,,,10504,15,0
101sa05,,,10505,16,0
101sa05,,,10506,17,0
101sa05,,,10507,18,0
101sa05,,,10508,19,0
101sa05,,,10509,20,0
101sa05,,,10510,21,0
101sa05,12:24:00,12:24:00,10511,22,1
101sa05,,,10512,23,0
101sa05,12:26:00,12:26:00,10513,24,1
101sa05,12:30:00,12:30:00,10500,25,1
101sa06,13:00:00,13:00:00,10100,1,1
101sa06,,,10101,2,0
101sa06,,,10102,3,0
101sa06,,,10103,4,0
101sa06,,,10104,5,0
101sa06,,,10105,6,0
101sa06,13:06:00,13:06:00,10106,7,1
101sa06,,,10107,8,0
101sa06,,,10108,9,0
101sa06,,,10501,10,0
101sa06,13:11:00,13:11:00,10592,11,1
101sa06,,,10593,12,0
101sa06,,,10502,13,0
101sa06,,,10503,14,0
101sa06,,,10504,15,0
101sa06,,,10505,16,0
101sa06,,,10506,17,0
101sa06,,,10507,18,0
101sa06,,,10508,19,0
101sa06,,,10509,20,0
101sa06,,,10510,21,0
101sa06,13:24:00,13:24:00,10511,22,1
101sa06,,,10512,23,0
101sa06,13:26:00,13:26:00,10513,24,1
101sa06,13:30:00,13:30:00,10500,25,1
101sa07,14:00:00,14:00:00,10100,1,1
101sa07,,,10101,2,0
101sa07,,,10102,3,0
101sa07,,,10103,4,0
101sa07,,,10104,5,0
101sa07,,,10105,6,0
101sa07,14:06:00,14:06:00,10106,7,1
101sa07,,,10107,8,0
101sa07,,,10108,9,0
101sa07,,,10501,10,0
101sa07,14:11:00,14:11:00,10592,11,1
101sa07,,,10593,12,0
101sa07,,,10502,13,0
101sa07,,,10503,14,0
101sa07,,,10504,15,0
101sa07,,,10505,16,0
101sa07,,,10506,17,0
101sa07,,,10507,18,0
101sa07,,,10508,19,0
101sa07,,,10509,20,0
101sa07,,,10510,21,0
101sa07,14:24:00,14:24:00,10511,22,1
101sa07,,,10512,23,0
101sa07,14:26:00,14:26:00,10513,24,1
101sa07,14:30:00,14:30:00,10500,25,1
101sa08,15:00:00,15:00:00,10100,1,1
101sa08,,,10101,2,0
101sa08,,,10102,3,0
101sa08,,,10103,4,0
101sa08,,,10104,5,0
101sa08,,,10105,6,0
101sa08,15:06:00,15:06:00,10106,7,1
101sa08,,,10107,8,0
101sa08,,,10108,9,0
101sa08,,,10501,10,0
101sa08,15:11:00,15:11:00,10592,11,1
101sa08,,,10593,12,0
101sa08,,,10502,13,0
101sa08,,,10503,14,0
101sa08,,,10504,15,0
101sa08,,,10505,16,0
101sa08,,,10506,17,0
101sa08,,,10507,18,0
101sa08,,,10508,19,0
101sa08,,,10509,20,0
101sa08,,,10510,21,0
101sa08,15:24:00,15:24:00,10511,22,1
101sa08,,,10512,23,0
101sa08,15:26:00,15:26:00,10513,24,1
101sa08,15:30:00,15:30:00,10500,25,1
101sa09,16:00:00,16:00:00,10100,1,1
101sa09,,,10101,2,0
101sa09,,,10102,3,0
101sa09,,,10103,4,0
