edu_school_name,edu_county,edu_rate,grade_span,county_norm,name_norm,reason
"Central Elementary, Jackson",Northampton,0.2916,PK:04,northampton,central elementary jackson,best fuzzy score 82 below threshold 85
Northampton Early College,Northampton,0.094,09:13,northampton,northampton early college,best fuzzy score 62 below threshold 85
"Southwest Elementary, Jacksonville",Onslow,0.1361,PK:05,onslow,southwest elementary jacksonville,best fuzzy score 75 below threshold 85
"Southwest Middle, Jacksonville",Onslow,0.1523,06:08,onslow,southwest middle jacksonville,best fuzzy score 71 below threshold 85
"Parkwood Elementary, Jacksonville",Onslow,0.0626,KG:05,onslow,parkwood elementary jacksonville,best fuzzy score 75 below threshold 85
"Northwoods Elementary, Jacksonville",Onslow,0.1747,KG:05,onslow,northwoods elementary jacksonville,best fuzzy score 76 below threshold 85
"Northside High, Jacksonville",Onslow,0.1812,09:12,onslow,northside high jacksonville,best fuzzy score 77 below threshold 85
"Fairview Elementary, Rocky Mount",Nash,0.2131,PK:02,nash,fairview elementary rocky mount,best fuzzy score 60 below threshold 85
"Southern Middle, Aberdeen",Moore,0.1547,06:08,moore,southern middle aberdeen,best fuzzy score 77 below threshold 85
"Edwin A Alderman Elementary, Wilmington",New Hanover,0.2034,KG:05,new hanover,edwin a alderman elementary wilmington,best fuzzy score 83 below threshold 85
Isaac M Bear Early College High School,New Hanover,0.0714,09:12,new hanover,isaac m bear early college high,best fuzzy score 71 below threshold 85
"Swift Creek Elementary, Whitakers",Nash,0.1494,PK:05,nash,swift creek elementary whitakers,best fuzzy score 81 below threshold 85
Vidant Health,Pitt,0.1707,PK:12,pitt,vidant health,best fuzzy score 43 below threshold 85
"Eastern Elementary, Greenville",Pitt,0.0561,KG:05,pitt,eastern elementary greenville,best fuzzy score 77 below threshold 85
"Southmont Elementary, Asheboro",Randolph,0.0792,PK:05,randolph,southmont elementary asheboro,best fuzzy score 82 below threshold 85
Randolph County Schools,Randolph,0.1231,,randolph,randolph county schools,best fuzzy score 53 below threshold 85
"Creekside Elementary, Winterville",Pitt,0.1205,PK:05,pitt,creekside elementary winterville,best fuzzy score 77 below threshold 85
"Bethel Elementary, Bethel",Pitt,0.1382,PK:08,pitt,bethel elementary bethel,best fuzzy score 83 below threshold 85
Chapel Hill-Carrboro Schools,Orange,0.0989,,orange,chapel hill carrboro schools,best fuzzy score 59 below threshold 85
"New Hope Elementary, Chapel Hill",Orange,0.1015,PK:05,orange,new hope elementary chapel hill,best fuzzy score 76 below threshold 85
"Northside Elementary, Chapel Hill",Orange,0.0638,PK:05,orange,northside elementary chapel hill,best fuzzy score 65 below threshold 85
"Glenwood Elementary, Chapel Hill",Orange,0.0516,KG:05,orange,glenwood elementary chapel hill,best fuzzy score 76 below threshold 85
"Phillips Middle, Chapel Hill",Orange,0.0895,06:08,orange,phillips middle chapel hill,best fuzzy score 71 below threshold 85
Pasquotank County Schools,Pasquotank,0.1252,,pasquotank,pasquotank county schools,best fuzzy score 72 below threshold 85
"North Elementary, Roxboro",Person,0.1055,KG:05,person,north elementary roxboro,best fuzzy score 80 below threshold 85
"South Elementary, Roxboro",Person,0.1217,PK:05,person,south elementary roxboro,best fuzzy score 80 below threshold 85
"Southern Middle, Roxboro",Person,0.1322,06:08,person,southern middle roxboro,best fuzzy score 79 below threshold 85
Uwharrie Charter Academy,Randolph,0.0696,05:12,randolph,uwharrie charter academy,best fuzzy score 56 below threshold 85
"Riverside High, Williamston",Martin,0.2195,09:12,martin,riverside high williamston,best fuzzy score 70 below threshold 85
East McDowell Middle,McDowell,0.2482,06:08,mcdowell,east mcdowell middle,best fuzzy score 58 below threshold 85
"Glenwood Elementary, Marion",McDowell,0.1652,PK:05,mcdowell,glenwood elementary marion,best fuzzy score 84 below threshold 85
"Marion Elementary, Marion",McDowell,0.1243,PK:05,mcdowell,marion elementary marion,best fuzzy score 83 below threshold 85
"Clear Creek Elementary, Charlotte",Mecklenburg,0.1104,PK:05,mecklenburg,clear creek elementary charlotte,best fuzzy score 81 below threshold 85
West McDowell Middle,McDowell,0.144,06:08,mcdowell,west mcdowell middle,best fuzzy score 58 below threshold 85
McDowell,McDowell,0.1751,06:12,mcdowell,mcdowell,best fuzzy score 76 below threshold 85
Johnston County Schools,Johnston,0.1228,,johnston,johnston county schools,best fuzzy score 57 below threshold 85
"Northeast Elementary, Kinston",Lenoir,0.2024,PK:05,lenoir,northeast elementary kinston,best fuzzy score 83 below threshold 85
"Northwest Elementary, Kinston",Lenoir,0.1164,KG:05,lenoir,northwest elementary kinston,best fuzzy score 83 below threshold 85
"Southwood Elementary, Kinston",Lenoir,0.1815,KG:05,lenoir,southwood elementary kinston,best fuzzy score 83 below threshold 85
Grand Oak Elementary,Mecklenburg,0.0503,KG:05,mecklenburg,grand oak elementary,best fuzzy score 80 below threshold 85
"Reedy Creek Elementary, Charlotte",Mecklenburg,0.1067,PK:05,mecklenburg,reedy creek elementary charlotte,best fuzzy score 81 below threshold 85
"Sedgefield Elementary, Charlotte",Mecklenburg,0.3173,PK:05,mecklenburg,sedgefield elementary charlotte,best fuzzy score 81 below threshold 85
"Stoney Creek Elementary, Charlotte",Mecklenburg,0.1576,KG:05,mecklenburg,stoney creek elementary charlotte,best fuzzy score 82 below threshold 85
Olympic TEAM High School,Mecklenburg,0.434,09:12,mecklenburg,olympic team high,best fuzzy score 73 below threshold 85
Thunderbird Preparatory Academy,Mecklenburg,0.1637,KG:07,mecklenburg,thunderbird preparatory academy,best fuzzy score 62 below threshold 85
Olympic High-Leadership and Development,Mecklenburg,0.4406,09:12,mecklenburg,olympic high leadership and development,best fuzzy score 56 below threshold 85
"Performance Learning Center, Charlotte",Mecklenburg,0.4076,09:12,mecklenburg,performance learning center charlotte,best fuzzy score 84 below threshold 85
eLearning Academy,Mecklenburg,0.1774,09:12,mecklenburg,elearning academy,best fuzzy score 68 below threshold 85
"Pinewood Elementary, Charlotte",Mecklenburg,0.1932,PK:05,mecklenburg,pinewood elementary charlotte,best fuzzy score 79 below threshold 85
"Piney Grove Elementary, Charlotte",Mecklenburg,0.1074,PK:05,mecklenburg,piney grove elementary charlotte,best fuzzy score 81 below threshold 85
Oakview Elementary,Wake,0.0605,PK:05,wake,oakview elementary,best fuzzy score 81 below threshold 85
"Oak Grove Elementary, Raleigh",Wake,0.0772,PK:05,wake,oak grove elementary raleigh,best fuzzy score 83 below threshold 85
"Lincoln Heights Elementary, Fuquay-Varin",Wake,0.0794,PK:05,wake,lincoln heights elementary fuquay varin,best fuzzy score 80 below threshold 85
"Pleasant Grove Elementary, Morrisville",Wake,0.1384,PK:05,wake,pleasant grove elementary morrisville,best fuzzy score 75 below threshold 85
"Vance Elementary, Raleigh",Wake,0.0833,PK:05,wake,vance elementary raleigh,best fuzzy score 80 below threshold 85
"River Bend Middle, Raleigh",Wake,0.1402,06:08,wake,river bend middle raleigh,best fuzzy score 67 below threshold 85
"Swift Creek Elementary, Raleigh",Wake,0.0807,KG:05,wake,swift creek elementary raleigh,best fuzzy score 85 below threshold 85
"Brier Creek Elementary, Raleigh",Wake,0.072,PK:05,wake,brier creek elementary raleigh,best fuzzy score 85 below threshold 85
"Carver Elementary, Wendell",Wake,0.0829,PK:05,wake,carver elementary wendell,best fuzzy score 84 below threshold 85
"Brentwood Elementary, Raleigh",Wake,0.0985,PK:05,wake,brentwood elementary raleigh,best fuzzy score 83 below threshold 85
"Heritage Middle, Wake Forest",Wake,0.1015,06:08,wake,heritage middle wake forest,best fuzzy score 76 below threshold 85
Ronda-Clingman Elementary,Wilkes,0.0952,PK:05,wilkes,ronda clingman elementary,best fuzzy score 65 below threshold 85
"Northeast Elementary, Pikeville",Wayne,0.1673,PK:05,wayne,northeast elementary pikeville,best fuzzy score 80 below threshold 85
"Northwest Elementary, Pikeville",Wayne,0.1395,KG:05,wayne,northwest elementary pikeville,best fuzzy score 80 below threshold 85
Boomer-Ferguson Elementary,Wilkes,0.0563,PK:05,wilkes,boomer ferguson elementary,best fuzzy score 67 below threshold 85
"Mount Pleasant Elementary, Ferguson",Wilkes,0.094,PK:05,wilkes,mount pleasant elementary ferguson,best fuzzy score 85 below threshold 85
Wilson Academy of Applied Technology,Wilson,0.0549,09:10,wilson,wilson academy of applied technology,best fuzzy score 66 below threshold 85
Envision Science Academy,Wake,0.0571,KG:08,wake,envision science academy,best fuzzy score 54 below threshold 85
The Exploris School,Wake,0.0595,KG:08,wake,the exploris,best fuzzy score 43 below threshold 85
Sterling Montessori Academy,Wake,0.0651,PK:08,wake,sterling montessori academy,best fuzzy score 54 below threshold 85
Washington Early College High,Washington,0.2,09:10,washington,washington early college high,best fuzzy score 62 below threshold 85
"Carver Elementary, Mount Olive",Wayne,0.0701,PK:04,wayne,carver elementary mount olive,best fuzzy score 74 below threshold 85
Northeast Regional School - Biotech/Agri,Martin,0.0704,09:13,martin,northeast regional biotech agri,best fuzzy score 37 below threshold 85
"Bethel Elementary, Sugar Grove",Watauga,0.1466,KG:08,watauga,bethel elementary sugar grove,best fuzzy score 74 below threshold 85
"Brogden Middle, Dudley",Wayne,0.2387,05:08,wayne,brogden middle dudley,best fuzzy score 80 below threshold 85
"Southeast Middle, Salisbury",Rowan,0.1731,06:08,rowan,southeast middle salisbury,best fuzzy score 76 below threshold 85
"Erwin Middle, Salisbury",Rowan,0.1588,06:08,rowan,erwin middle salisbury,best fuzzy score 71 below threshold 85
"Cleveland Elementary, Cleveland",Rowan,0.1535,KG:05,rowan,cleveland elementary cleveland,best fuzzy score 80 below threshold 85
"Union Elementary, Clinton",Sampson,0.1675,PK:03,sampson,union elementary clinton,best fuzzy score 80 below threshold 85
"Piney Grove Elementary, Lumberton",Robeson,0.1948,PK:06,robeson,piney grove elementary lumberton,best fuzzy score 81 below threshold 85
"Prospect Elementary, Maxton",Robeson,0.1703,PK:08,robeson,prospect elementary maxton,best fuzzy score 84 below threshold 85
"Lincoln Elementary, Ruffin",Rockingham,0.1655,PK:05,rockingham,lincoln elementary ruffin,best fuzzy score 84 below threshold 85
"Union Elementary, Rowland",Robeson,0.1814,PK:06,robeson,union elementary rowland,best fuzzy score 80 below threshold 85
Robeson County Schools,Robeson,0.2597,,robeson,robeson county schools,best fuzzy score 55 below threshold 85
"East Elementary, Monroe",Union,0.136,PK:05,union,east elementary monroe,best fuzzy score 81 below threshold 85
"Fairview Elementary, Monroe",Union,0.117,PK:05,union,fairview elementary monroe,best fuzzy score 84 below threshold 85
"Union Academy, Monroe",Union,0.0721,KG:12,union,union academy monroe,best fuzzy score 57 below threshold 85
"Carver Elementary, Henderson",Vance,0.2615,PK:05,vance,carver elementary henderson,best fuzzy score 77 below threshold 85
"New Hope Elementary, Henderson",Vance,0.2468,PK:05,vance,new hope elementary henderson,best fuzzy score 79 below threshold 85
"Prospect Elementary, Monroe",Union,0.0729,KG:05,union,prospect elementary monroe,best fuzzy score 84 below threshold 85
Oakboro Choice STEM,Stanly,0.0629,KG:08,stanly,oakboro choice stem,best fuzzy score 49 below threshold 85
Elkin City Schools,Surry,0.06,,surry,elkin city schools,best fuzzy score 51 below threshold 85
"Sandy Ridge Elementary, Sandy Ridge",Stokes,0.0899,KG:05,stokes,sandy ridge elementary sandy ridge,best fuzzy score 79 below threshold 85
"Central Middle, Dobson",Surry,0.1421,06:08,surry,central middle dobson,best fuzzy score 80 below threshold 85
"White Oak Elementary, Edenton",Chowan,0.1378,PK:02,chowan,white oak elementary edenton,best fuzzy score 83 below threshold 85
Chatham School of Science & Engineering,Chatham,0.147,09:10,chatham,chatham of science and engineering,best fuzzy score 48 below threshold 85
"East Elementary, Kings Mountain",Cleveland,0.1558,PK:04,cleveland,east elementary kings mountain,best fuzzy score 70 below threshold 85
"Marion Elementary, Shelby",Cleveland,0.0996,PK:04,cleveland,marion elementary shelby,best fuzzy score 83 below threshold 85
"North Elementary, Kings Mountain",Cleveland,0.1454,PK:04,cleveland,north elementary kings mountain,best fuzzy score 68 below threshold 85
"Union Elementary, Shelby",Cleveland,0.1263,PK:05,cleveland,union elementary shelby,best fuzzy score 82 below threshold 85
"White Oak Elementary, Cape Carteret",Carteret,0.0878,PK:05,carteret,white oak elementary cape carteret,best fuzzy score 74 below threshold 85
"North Elementary, Providence",Caswell,0.2532,PK:05,caswell,north elementary providence,best fuzzy score 74 below threshold 85
"Oakwood Elementary, Yanceyville",Caswell,0.1914,PK:05,caswell,oakwood elementary yanceyville,best fuzzy score 75 below threshold 85
"South Elementary, Mebane",Caswell,0.1851,PK:05,caswell,south elementary mebane,best fuzzy score 82 below threshold 85
"Stoney Creek Elementary, Reidsville",Caswell,0.2,KG:05,caswell,stoney creek elementary reidsville,best fuzzy score 81 below threshold 85
"River Bend Middle, Claremont",Catawba,0.1319,07:08,catawba,river bend middle claremont,best fuzzy score 77 below threshold 85
"Central Middle, Whiteville",Columbus,0.2378,06:08,columbus,central middle whiteville,best fuzzy score 72 below threshold 85
Walker Spivey Elementary,Cumberland,0.2081,KG:05,cumberland,walker spivey elementary,best fuzzy score 70 below threshold 85
"Southmont Elementary, Lexington",Davidson,0.0539,PK:05,davidson,southmont elementary lexington,best fuzzy score 80 below threshold 85
"Brier Creek Elementary, Thomasville",Davidson,0.0754,PK:05,davidson,brier creek elementary thomasville,best fuzzy score 79 below threshold 85
"Brentwood Elementary, Fayetteville",Cumberland,0.2291,PK:05,cumberland,brentwood elementary fayetteville,best fuzzy score 75 below threshold 85
"Creekside Elementary, New Bern",Craven,0.0799,KG:05,craven,creekside elementary new bern,best fuzzy score 82 below threshold 85
"Pilot Elementary, Thomasville",Davidson,0.0522,PK:05,davidson,pilot elementary thomasville,best fuzzy score 73 below threshold 85
Heritage Collegiate Leadership Academy,Bertie,0.3128,KG:06,bertie,heritage collegiate leadership academy,best fuzzy score 48 below threshold 85
Williams Academy,Avery,0.0573,KG:12,avery,williams academy,best fuzzy score 51 below threshold 85
"Eastern Elementary, Washington",Beaufort,0.2133,PK:01,beaufort,eastern elementary washington,best fuzzy score 77 below threshold 85
"Northeast Elementary, Pinetown",Beaufort,0.183,PK:08,beaufort,northeast elementary pinetown,best fuzzy score 82 below threshold 85
"Northside High, Pinetown",Beaufort,0.1458,09:12,beaufort,northside high pinetown,best fuzzy score 76 below threshold 85
"Erwin Middle, Asheville",Buncombe,0.186,07:08,buncombe,erwin middle asheville,best fuzzy score 84 below threshold 85
"Union Elementary, Shallotte",Brunswick,0.0749,KG:05,brunswick,union elementary shallotte,best fuzzy score 76 below threshold 85
"Lincoln Elementary, Leland",Brunswick,0.1869,PK:05,brunswick,lincoln elementary leland,best fuzzy score 84 below threshold 85
"Pleasant Grove Elementary, Burlington",Alamance,0.2,PK:05,alamance,pleasant grove elementary burlington,best fuzzy score 82 below threshold 85
"Southern Middle, Graham",Alamance,0.1632,06:08,alamance,southern middle graham,best fuzzy score 81 below threshold 85
"Hillcrest Elementary, Burlington",Alamance,0.1487,PK:05,alamance,hillcrest elementary burlington,best fuzzy score 78 below threshold 85
"Highland Elementary, Burlington",Alamance,0.106,KG:05,alamance,highland elementary burlington,best fuzzy score 78 below threshold 85
"Mountain View Elementary, Jefferson",Ashe,0.0693,PK:06,ashe,mountain view elementary jefferson,best fuzzy score 83 below threshold 85
"Forest Park Elementary, Kannapolis",Cabarrus,0.1259,PK:05,cabarrus,forest park elementary kannapolis,best fuzzy score 80 below threshold 85
"Mount Pleasant Elementary, Mount Pleasan",Cabarrus,0.0677,KG:05,cabarrus,mount pleasant elementary mount pleasan,best fuzzy score 78 below threshold 85
"Rocky River Elementary, Concord",Cabarrus,0.0901,PK:05,cabarrus,rocky river elementary concord,best fuzzy score 85 below threshold 85
Kannapolis Charter Academy,Cabarrus,0.1135,KG:07,cabarrus,kannapolis charter academy,best fuzzy score 65 below threshold 85
"Oak Hill Elementary, Lenoir",Caldwell,0.1764,KG:08,caldwell,oak hill elementary lenoir,best fuzzy score 84 below threshold 85
"Claxton Elementary, Asheville",Buncombe,0.1194,KG:05,buncombe,claxton elementary asheville,best fuzzy score 78 below threshold 85
"Vance Elementary, Asheville",Buncombe,0.0894,KG:05,buncombe,vance elementary asheville,best fuzzy score 76 below threshold 85
"Fairview Elementary, Fairview",Buncombe,0.0938,KG:05,buncombe,fairview elementary fairview,best fuzzy score 81 below threshold 85
"Salem Elementary, Morganton",Burke,0.0665,PK:05,burke,salem elementary morganton,best fuzzy score 76 below threshold 85
"Bethel Elementary, Midland",Cabarrus,0.069,KG:05,cabarrus,bethel elementary midland,best fuzzy score 81 below threshold 85
Invest Collegiate - Imagine,Buncombe,0.097,KG:12,buncombe,invest collegiate imagine,best fuzzy score 44 below threshold 85
"Heritage Middle, Valdese",Burke,0.0761,06:08,burke,heritage middle valdese,best fuzzy score 79 below threshold 85
